game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
TSG X WOB 2020-02-15;;False;1872;goalAwarded;varDecision;False;{'name': 'Wout Weghorst', 'slug': 'wout-weghorst', 'shortName': 'W. Weghorst', 'position': 'F', 'userCount': 1847, 'id': 252215};41
SCP X BCS 2020-02-15;;False;1870;goalAwarded;varDecision;False;{'name': 'Krzysztof Piątek', 'slug': 'krzysztof-piatek', 'shortName': 'K. Piątek', 'position': 'F', 'userCount': 22782, 'id': 558738};18
KOL X BAY 2020-02-16;;False;1907;goalAwarded;varDecision;True;{'name': 'Jhon Córdoba', 'slug': 'jhon-cordoba', 'shortName': 'J. Córdoba', 'position': 'F', 'userCount': 1196, 'id': 281253};47
BMG X TSG 2020-02-22;;False;1960;goalAwarded;varDecision;True;{'name': 'Alassane Pléa', 'slug': 'alassane-plea', 'shortName': 'A. Pléa', 'position': 'F', 'userCount': 2374, 'id': 192308};84
BMG X TSG 2020-02-22;;False;1957;penaltyNotAwarded;varDecision;True;{'name': 'Lars Stindl', 'slug': 'lars-stindl', 'shortName': 'L. Stindl', 'position': 'F', 'userCount': 743, 'id': 23996};72
BCS X KOL 2020-02-22;;False;1954;goalNotAwarded;varDecision;False;{'name': 'Florian Kainz', 'slug': 'florian-kainz', 'shortName': 'F. Kainz', 'position': 'M', 'userCount': 483, 'id': 78781};38
S04 X TSG 2020-03-07;;False;2108;goalAwarded;varDecision;False;{'name': 'Benjamin Hübner', 'slug': 'benjamin-hubner', 'shortName': 'B. Hübner', 'position': 'D', 'userCount': 261, 'id': 35921};67
BCS X SVW 2020-03-07;;False;2111;penaltyAwarded;varDecision;True;{'name': 'Vladimír Darida', 'slug': 'vladimir-darida', 'shortName': 'V. Darida', 'position': 'M', 'userCount': 460, 'id': 109002};80
;;False;2160;goalNotAwarded;varDecision;True;{'name': 'Jean-Philippe Mateta', 'slug': 'jean-philippe-mateta', 'shortName': 'J. Mateta', 'position': 'F', 'userCount': 792, 'id': 848276};62
AUG X WOB 2020-05-16;;False;2214;goalAwarded;varDecision;True;{'name': 'Felix Uduokhai', 'slug': 'felix-uduokhai', 'shortName': 'F. Uduokhai', 'position': 'D', 'userCount': 261, 'id': 792142};68
RBL X SCF 2020-05-16;4.0;False;2215;goalAwarded;varDecision;False;{'name': 'Robin Koch', 'slug': 'robin-koch', 'shortName': 'R. Koch', 'position': 'D', 'userCount': 566, 'id': 581302};90
;;False;2219;goalAwarded;varDecision;False;{'name': 'Thomas Müller', 'slug': 'thomas-muller', 'shortName': 'T. Müller', 'position': 'M', 'userCount': 12945, 'id': 35166};19
BMG X BLK 2020-05-23;;True;2226;penaltyAwarded;varDecision;False;{'name': 'Karim Bellarabi', 'slug': 'karim-bellarabi', 'shortName': 'K. Bellarabi', 'position': 'M', 'userCount': 613, 'id': 108574};56
SCF X SVW 2020-05-23;;False;2228;goalAwarded;varDecision;True;{'name': 'Manuel Gulde', 'slug': 'manuel-gulde', 'shortName': 'M. Gulde', 'position': 'D', 'userCount': 120, 'id': 71952};90
WOB X DOR 2020-05-23;;False;2227;cardUpgrade;varDecision;True;{'name': 'Felix Klaus', 'slug': 'felix-klaus', 'shortName': 'F. Klaus', 'position': 'F', 'userCount': 151, 'id': 116570};81
TSG X KOL 2020-05-27;;False;2238;penaltyNotAwarded;varDecision;False;{'name': 'Mark Uth', 'slug': 'mark-uth', 'shortName': 'M. Uth', 'position': 'M', 'userCount': 751, 'id': 110508};76
TSG X KOL 2020-05-27;;False;2237;goalAwarded;varDecision;True;{'name': 'Christoph Baumgartner', 'slug': 'christoph-baumgartner', 'shortName': 'C. Baumgartner', 'position': 'M', 'userCount': 463, 'id': 825956};43
TSG X KOL 2020-05-27;;False;2236;cardUpgrade;varDecision;False;{'name': 'Sebastiaan Bornauw', 'slug': 'sebastiaan-bornauw', 'shortName': 'S. Bornauw', 'position': 'D', 'userCount': 513, 'id': 826167};25
KOL X RBL 2020-06-01;;False;2249;penaltyAwarded;varDecision;True;{'name': 'Anthony Modeste', 'slug': 'anthony-modeste', 'shortName': 'A. Modeste', 'position': 'F', 'userCount': 620, 'id': 21931};72
BLK X BAY 2020-06-06;;False;2258;goalNotAwarded;varDecision;True;{'name': 'Lucas Alario', 'slug': 'lucas-alario', 'shortName': 'L. Alario', 'position': 'F', 'userCount': 1741, 'id': 249893};10
DUS X TSG 2020-06-06;;False;2259;goalAwarded;varDecision;True;{'name': 'Kenan Karaman', 'slug': 'kenan-karaman', 'shortName': 'K. Karaman', 'position': 'F', 'userCount': 899, 'id': 168943};20
TSG X RBL 2020-06-12;;False;2267;penaltyAwarded;varDecision;True;{'name': 'Munas Dabbur', 'slug': 'munas-dabbur', 'shortName': 'M. Dabbur', 'position': 'F', 'userCount': 1679, 'id': 114379};8
;;False;2280;penaltyAwarded;varDecision;False;{'name': 'Christian Gentner', 'slug': 'christian-gentner', 'shortName': 'C. Gentner', 'position': 'M', 'userCount': 176, 'id': 4725};32
DUS X DOR 2020-06-13;;False;2283;goalAwarded;varDecision;False;{'name': 'Raphaël Guerreiro', 'slug': 'raphael-guerreiro', 'shortName': 'R. Guerreiro', 'position': 'D', 'userCount': 4120, 'id': 246999};67
BCS X SGE 2020-06-13;2.0;False;2282;cardUpgrade;varDecision;True;{'name': 'Dedryck Boyata', 'slug': 'dedryck-boyata', 'shortName': 'D. Boyata', 'position': 'D', 'userCount': 891, 'id': 103928};45
BCS X SGE 2020-06-13;1.0;False;2281;penaltyAwarded;varDecision;False;{'name': 'Bas Dost', 'slug': 'bas-dost', 'shortName': 'B. Dost', 'position': 'F', 'userCount': 1676, 'id': 32260};45
WOB X SCF 2020-06-13;;False;2279;goalAwarded;varDecision;True;{'name': 'Daniel Ginczek', 'slug': 'daniel-ginczek', 'shortName': 'D. Ginczek', 'position': 'F', 'userCount': 169, 'id': 48022};30
WOB X SCF 2020-06-13;;False;2278;goalAwarded;varDecision;True;{'name': 'Wout Weghorst', 'slug': 'wout-weghorst', 'shortName': 'W. Weghorst', 'position': 'F', 'userCount': 1847, 'id': 252215};24
BAY X BMG 2020-06-13;;False;2286;goalAwarded;varDecision;False;{'name': 'Jonas Hofmann', 'slug': 'jonas-hofmann', 'shortName': 'J. Hofmann', 'position': 'M', 'userCount': 379, 'id': 142390};17
S04 X BLK 2020-06-14;;False;2292;penaltyNotAwarded;varDecision;True;{'name': 'Jonjoe Kenny', 'slug': 'jonjoe-kenny', 'shortName': 'J. Kenny', 'position': 'D', 'userCount': 499, 'id': 361310};50
SCF X BCS 2020-06-16;;False;2299;goalAwarded;varDecision;False;{'name': 'Dodi Lukebakio', 'slug': 'dodi-lukebakio', 'shortName': 'D. Lukebakio', 'position': 'F', 'userCount': 1277, 'id': 823631};52
DUS X AUG 2020-06-20;;False;2323;goalAwarded;varDecision;True;{'name': 'Rouwen Hennings', 'slug': 'rouwen-hennings', 'shortName': 'R. Hennings', 'position': 'F', 'userCount': 510, 'id': 13009};8
SCP X BMG 2020-06-20;;False;2324;goalNotAwarded;varDecision;False;{'name': 'Lars Stindl', 'slug': 'lars-stindl', 'shortName': 'L. Stindl', 'position': 'F', 'userCount': 743, 'id': 23996};74
AUG X RBL 2020-06-27;;False;2376;goalNotAwarded;varDecision;False;{'name': 'Timo Werner', 'slug': 'timo-werner', 'shortName': 'T. Werner', 'position': 'F', 'userCount': 14278, 'id': 232306};81
AUG X RBL 2020-06-27;;False;2374;redCardGiven;varDecision;True;{'name': 'Philipp Max', 'slug': 'philipp-max', 'shortName': 'P. Max', 'position': 'D', 'userCount': 858, 'id': 142672};60
;;False;2375;goalAwarded;varDecision;True;{'name': 'Julian Baumgartlinger', 'slug': 'julian-baumgartlinger', 'shortName': 'J. Baumgartlinger', 'position': 'M', 'userCount': 334, 'id': 24006};68
