game;addedTime;assist1;assist1Name;awayScore;homeScore;id;incidentClass;incidentType;isHome;player;time
SAM X ROM 24-01-2018;1.0;{'name': 'Mirko Antonucci', 'slug': 'mirko-antonucci', 'shortName': 'M. Antonucci', 'position': 'F', 'userCount': 325, 'id': 826196};;1;1;122655573;regular;goal;False;{'name': 'Edin Džeko', 'slug': 'edin-dzeko', 'shortName': 'E. Džeko', 'position': 'F', 'userCount': 7795, 'id': 14990};90
SAM X ROM 24-01-2018;2.0;;;0;1;122655572;penalty;goal;True;{'name': 'Fabio Quagliarella', 'slug': 'fabio-quagliarella', 'shortName': 'F. Quagliarella', 'position': 'F', 'userCount': 2932, 'id': 11621};45
CRO X INT 16-09-2017;2.0;{'name': 'João Mário', 'slug': 'joao-mario', 'shortName': 'J. Mário', 'position': 'M', 'userCount': 2022, 'id': 97001};;2;0;121710568;regular;goal;False;{'name': 'Ivan Perišić', 'slug': 'ivan-perisic', 'shortName': 'I. Perišić', 'position': 'M', 'userCount': 8958, 'id': 38710};90
CRO X INT 16-09-2017;;;;1;0;121710567;regular;goal;False;{'name': 'Milan Škriniar', 'slug': 'milan-skriniar', 'shortName': 'M. Škriniar', 'position': 'D', 'userCount': 4569, 'id': 187205};82
FIO X BGN 16-09-2017;;{'name': 'Cristiano Biraghi', 'slug': 'cristiano-biraghi', 'shortName': 'C. Biraghi', 'position': 'M', 'userCount': 1261, 'id': 122848};;1;2;121714053;regular;goal;True;{'name': 'Germán Pezzella', 'slug': 'german-pezzella', 'shortName': 'G. Pezzella', 'position': 'D', 'userCount': 1405, 'id': 158241};69
FIO X BGN 16-09-2017;;{'name': 'Saphir Taïder', 'slug': 'saphir-taider', 'shortName': 'S. Taïder', 'position': 'M', 'userCount': 831, 'id': 113370};;1;1;121714054;regular;goal;False;{'name': 'Rodrigo Palacio', 'slug': 'rodrigo-palacio', 'shortName': 'R. Palacio', 'position': 'F', 'userCount': 799, 'id': 15529};52
FIO X BGN 16-09-2017;;{'name': 'Gil Dias', 'slug': 'gil-dias', 'shortName': 'Gil', 'position': 'M', 'userCount': 413, 'id': 583838};;0;1;121714052;regular;goal;True;{'name': 'Federico Chiesa', 'slug': 'federico-chiesa', 'shortName': 'F. Chiesa', 'position': 'F', 'userCount': 4580, 'id': 845386};51
ROM X HEL 16-09-2017;;{'name': 'Aleksandar Kolarov', 'slug': 'aleksandar-kolarov', 'shortName': 'A. Kolarov', 'position': 'D', 'userCount': 3459, 'id': 26097};;0;3;121715120;regular;goal;True;{'name': 'Edin Džeko', 'slug': 'edin-dzeko', 'shortName': 'E. Džeko', 'position': 'F', 'userCount': 7795, 'id': 14990};61
ROM X HEL 16-09-2017;;{'name': 'Alessandro Florenzi', 'slug': 'alessandro-florenzi', 'shortName': 'A. Florenzi', 'position': 'D', 'userCount': 2261, 'id': 152420};;0;2;121715119;regular;goal;True;{'name': 'Edin Džeko', 'slug': 'edin-dzeko', 'shortName': 'E. Džeko', 'position': 'F', 'userCount': 7795, 'id': 14990};33
ROM X HEL 16-09-2017;;{'name': 'Stephan El Shaarawy', 'slug': 'stephan-el-shaarawy', 'shortName': 'S. El Shaarawy', 'position': 'M', 'userCount': 3724, 'id': 45925};;0;1;121715118;regular;goal;True;{'name': 'Radja Nainggolan', 'slug': 'radja-nainggolan', 'shortName': 'R. Nainggolan', 'position': 'M', 'userCount': 6198, 'id': 44001};22
