game;addedTime;id;incidentClass;incidentType;isHome;player;playerName;reason;time
UDI X JUV 22-10-2017;;118756768;yellow;card;True;{'name': 'Stipe Perica', 'slug': 'stipe-perica', 'shortName': 'S. Perica', 'position': 'F', 'userCount': 271, 'id': 284845};Stipe Perica;Foul;51
UDI X JUV 22-10-2017;;118756767;yellow;card;True;{'name': 'Samir', 'slug': 'samir', 'shortName': 'Samir', 'position': 'D', 'userCount': 400, 'id': 331405};Samir;Foul;32
UDI X JUV 22-10-2017;;118756773;yellowRed;card;False;{'name': 'Mario Mandžukić', 'slug': 'mario-mandzukic', 'shortName': 'M. Mandžukić', 'position': 'F', 'userCount': 9918, 'id': 18886};Mario Mandžukić;Argument;26
UDI X JUV 22-10-2017;;118756772;yellow;card;False;{'name': 'Mario Mandžukić', 'slug': 'mario-mandzukic', 'shortName': 'M. Mandžukić', 'position': 'F', 'userCount': 9918, 'id': 18886};Mario Mandžukić;Argument;26
UDI X JUV 22-10-2017;;118756766;yellow;card;True;{'name': 'Ali Adnan', 'slug': 'ali-adnan', 'shortName': 'A. Adnan', 'position': 'D', 'userCount': 891, 'id': 331429};Ali Adnan;Argument;26
LAZ X CAG 22-10-2017;;118757213;yellow;card;False;{'name': 'Leonardo Pavoletti', 'slug': 'leonardo-pavoletti', 'shortName': 'L. Pavoletti', 'position': 'F', 'userCount': 843, 'id': 132704};Leonardo Pavoletti;Handball;80
LAZ X CAG 22-10-2017;;118757212;yellow;card;False;{'name': 'Diego Farias', 'slug': 'diego-farias', 'shortName': 'D. Farias', 'position': 'F', 'userCount': 274, 'id': 41008};Diego Farias;Foul;72
LAZ X CAG 22-10-2017;;118757211;yellow;card;False;{'name': 'Daniele Dessena', 'slug': 'daniele-dessena', 'shortName': 'D. Dessena', 'position': 'M', 'userCount': 71, 'id': 5544};Daniele Dessena;Foul;51
LAZ X CAG 22-10-2017;;118757209;yellow;card;True;{'name': 'Lucas Leiva', 'slug': 'lucas-leiva', 'shortName': 'L. Leiva', 'position': 'M', 'userCount': 1023, 'id': 27234};Lucas Leiva;Foul;30
LAZ X CAG 22-10-2017;;118757210;yellow;card;False;{'name': 'Marco Andreolli', 'slug': 'marco-andreolli', 'shortName': 'M. Andreolli', 'position': 'D', 'userCount': 58, 'id': 2039};Marco Andreolli;Foul;29
INT X SAM 24-10-2017;;118758523;yellow;card;True;{'name': 'Éder', 'slug': 'eder', 'shortName': 'Éder', 'position': 'F', 'userCount': 645, 'id': 18082};Éder;Foul;90
INT X SAM 24-10-2017;;118758522;yellow;card;True;{'name': 'Roberto Gagliardini', 'slug': 'roberto-gagliardini', 'shortName': 'R. Gagliardini', 'position': 'M', 'userCount': 1067, 'id': 287057};Roberto Gagliardini;Foul;88
INT X SAM 24-10-2017;;118758525;yellow;card;False;{'name': 'Fabio Quagliarella', 'slug': 'fabio-quagliarella', 'shortName': 'F. Quagliarella', 'position': 'F', 'userCount': 2932, 'id': 11621};Fabio Quagliarella;Argument;85
INT X SAM 24-10-2017;;118758524;yellow;card;False;{'name': 'Nicola Murru', 'slug': 'nicola-murru', 'shortName': 'N. Murru', 'position': 'D', 'userCount': 347, 'id': 148745};Nicola Murru;Foul;61
BGN X LAZ 25-10-2017;;118759517;yellow;card;True;{'name': 'César Falletti', 'slug': 'cesar-falletti', 'shortName': 'C. Falletti', 'position': 'M', 'userCount': 61, 'id': 345899};César Falletti;Foul;85
BGN X LAZ 25-10-2017;;118759519;yellow;card;False;{'name': 'Ştefan Radu', 'slug': 'stefan-radu', 'shortName': 'Ş. Radu', 'position': 'D', 'userCount': 678, 'id': 13592};Stefan Radu;Foul;72
BGN X LAZ 25-10-2017;;118759518;yellow;card;False;{'name': 'Bastos', 'slug': 'bastos', 'shortName': 'Bastos', 'position': 'D', 'userCount': 836, 'id': 215956};Bastos;Foul;55
BGN X LAZ 25-10-2017;;118759516;yellow;card;True;{'name': 'Adam Masina', 'slug': 'adam-masina', 'shortName': 'A. Masina', 'position': 'D', 'userCount': 268, 'id': 259995};Adam Masina;Foul;18
CAG X BEM 25-10-2017;;118759524;yellow;card;True;{'name': 'Leonardo Pavoletti', 'slug': 'leonardo-pavoletti', 'shortName': 'L. Pavoletti', 'position': 'F', 'userCount': 843, 'id': 132704};Leonardo Pavoletti;Argument;88
CAG X BEM 25-10-2017;;118759523;yellow;card;True;{'name': 'Nicolò Barella', 'slug': 'nicolo-barella', 'shortName': 'N. Barella', 'position': 'M', 'userCount': 4686, 'id': 363856};Nicolò Barella;Foul;83
CAG X BEM 25-10-2017;;118759522;yellow;card;True;{'name': 'Simone Padoin', 'slug': 'simone-padoin', 'shortName': 'S. Padoin', 'position': 'D', 'userCount': 230, 'id': 27811};Simone Padoin;Foul;76
CAG X BEM 25-10-2017;;118759521;yellow;card;True;{'name': 'Luca Cigarini', 'slug': 'luca-cigarini', 'shortName': 'L. Cigarini', 'position': 'M', 'userCount': 173, 'id': 12656};Luca Cigarini;Foul;55
CAG X BEM 25-10-2017;;118759520;yellow;card;True;{'name': 'Paolo Faragò', 'slug': 'paolo-farago', 'shortName': 'P. Faragò', 'position': 'D', 'userCount': 100, 'id': 253387};Paolo Faragò;Foul;28
CAG X BEM 25-10-2017;;118759525;yellow;card;False;{'name': 'Gianluca Di Chiara', 'slug': 'gianluca-di-chiara', 'shortName': 'G. D. Chiara', 'position': 'D', 'userCount': 21, 'id': 139094};Gianluca Di Chiara;Foul;15
CHV X MIL 25-10-2017;;118759488;yellow;card;True;{'name': 'Riccardo Meggiorini', 'slug': 'riccardo-meggiorini', 'shortName': 'R. Meggiorini', 'position': 'F', 'userCount': 77, 'id': 43932};Riccardo Meggiorini;Foul;83
CHV X MIL 25-10-2017;;118759491;yellow;card;False;{'name': 'Hakan Çalhanoğlu', 'slug': 'hakan-calhanoglu', 'shortName': 'H. Çalhanoğlu', 'position': 'M', 'userCount': 6474, 'id': 135700};Hakan Çalhanoğlu;Foul;69
CHV X MIL 25-10-2017;;118759490;yellow;card;False;{'name': 'Mateo Musacchio', 'slug': 'mateo-musacchio', 'shortName': 'M. Musacchio', 'position': 'D', 'userCount': 1107, 'id': 34125};Mateo Musacchio;Foul;65
CHV X MIL 25-10-2017;;118759487;yellow;card;True;{'name': 'Përparim Hetemaj', 'slug': 'perparim-hetemaj', 'shortName': 'P. Hetemaj', 'position': 'M', 'userCount': 145, 'id': 7472};Përparim Hetemaj;Foul;14
CHV X MIL 25-10-2017;;118759489;yellow;card;False;{'name': 'Fabio Borini', 'slug': 'fabio-borini', 'shortName': 'F. Borini', 'position': 'F', 'userCount': 897, 'id': 89510};Fabio Borini;Foul;12
FIO X TOR 25-10-2017;;118759505;yellow;card;False;{'name': 'Emiliano Moretti', 'slug': 'emiliano-moretti', 'shortName': 'E. Moretti', 'position': 'D', 'userCount': 83, 'id': 3031};Emiliano Moretti;Argument;74
FIO X TOR 25-10-2017;;118759504;red;card;False;{'name': 'Antonio Barreca', 'slug': 'antonio-barreca', 'shortName': 'A. Barreca', 'position': 'M', 'userCount': 407, 'id': 541574};Antonio Barreca;Professional foul last man;73
FIO X TOR 25-10-2017;;118759503;yellow;card;False;{'name': 'Tomás Rincón', 'slug': 'tomas-rincon', 'shortName': 'T. Rincón', 'position': 'M', 'userCount': 1101, 'id': 46798};Tomás Rincón;Foul;61
FIO X TOR 25-10-2017;;118759501;yellow;card;True;{'name': 'Davide Astori', 'slug': 'davide-astori', 'shortName': 'D. Astori', 'position': 'D', 'userCount': 668, 'id': 41447};Davide Astori;Foul;41
FIO X TOR 25-10-2017;;118759502;yellow;card;False;{'name': 'Daniele Baselli', 'slug': 'daniele-baselli', 'shortName': 'D. Baselli', 'position': 'M', 'userCount': 739, 'id': 168647};Daniele Baselli;Foul;18
GEN X NAP 25-10-2017;;118759508;yellow;card;False;{'name': 'Marko Rog', 'slug': 'marko-rog', 'shortName': 'M. Rog', 'position': 'M', 'userCount': 2063, 'id': 573616};Marko Rog;Foul;86
GEN X NAP 25-10-2017;;118759507;yellow;card;True;{'name': 'Ervin Zukanović', 'slug': 'ervin-zukanovic', 'shortName': 'E. Zukanović', 'position': 'D', 'userCount': 320, 'id': 48543};Ervin Zukanović;Foul;74
JUV X SPA 25-10-2017;;118759492;yellow;card;True;{'name': 'Daniele Rugani', 'slug': 'daniele-rugani', 'shortName': 'D. Rugani', 'position': 'D', 'userCount': 2459, 'id': 139273};Daniele Rugani;Foul;37
ROM X CRO 25-10-2017;;118759510;yellow;card;False;{'name': 'Ante Budimir', 'slug': 'ante-budimir', 'shortName': 'A. Budimir', 'position': 'F', 'userCount': 841, 'id': 37318};Ante Budimir;Simulation;71
