game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Clearances_away_1ST;Clearances_away_2ND;Clearances_away_ALL;Clearances_home_1ST;Clearances_home_2ND;Clearances_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Crosses_away_1ST;Crosses_away_2ND;Crosses_away_ALL;Crosses_home_1ST;Crosses_home_2ND;Crosses_home_ALL;Dribbles_away_1ST;Dribbles_away_2ND;Dribbles_away_ALL;Dribbles_home_1ST;Dribbles_home_2ND;Dribbles_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Interceptions_away_1ST;Interceptions_away_2ND;Interceptions_away_ALL;Interceptions_home_1ST;Interceptions_home_2ND;Interceptions_home_ALL;Long balls_away_1ST;Long balls_away_2ND;Long balls_away_ALL;Long balls_home_1ST;Long balls_home_2ND;Long balls_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Possession lost_away_ALL;Possession lost_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Tackles_away_1ST;Tackles_away_2ND;Tackles_away_ALL;Tackles_home_1ST;Tackles_home_2ND;Tackles_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
BOU X TOT 2018-03-11;264 (84%);201 (82%);465 (83%);102 (66%);124 (70%);226 (68%);10;4;14;9;4;13;68%;58%;63%;32%;42%;37%;1;0;1;1;0;1;2;3;5;1;0;1;1;2;3;2;2;4;;;;;;;1;4;5;2;2;4;0;3;3;1;0;1;;;;;;;;;;;;;35;28;63;28;31;59;7;10;0;2;2;1;3;4;0;0;0;1;0;1;;;;;;;;;;;;;2;1;3;0;0;0;315;244;559;154;177;331;166;159;;;;;;;3;7;10;5;2;7;1;0;1;5;2;7;2;6;8;1;2;3;1;1;2;3;4;7;;;;;;;4;8;12;8;6;14;1;0;1;0;1;1;4;2018-03-11;-5;31;78;37;18;10;7;-11;-13;-11;-11;-7;-11;-10;-9;-9;-9;-9;-9;-11;-42;-34;-9;-24;-19;-15;-11;-30;35;-76;-51;-29;-14;-10;26;9;1;-5;-7;-11;-15.0;2;-39;40;18;25;10;-6;-5;-8;-10;-21;-16;-19;-61;-10;35;-10;-10;-13;-81;-52;-33;-87;-78;-38;-20;87;-19;38;-23;-4;-3;-1;20;10;5;24;97;15;8;1;3;8;7;10;11;-72;-35.0;57;4.0;-130.0;1;14:00:00;-1;TOT;BOU
STO X MCI 2018-03-12;381 (88%);381 (92%);762 (90%);76 (61%);89 (74%);165 (67%);10;6;16;3;10;13;78%;77%;78%;22%;23%;22%;0;2;2;0;0;0;1;3;4;0;0;0;1;2;3;1;1;2;;;;;;;3;7;10;2;1;3;0;1;1;0;0;0;;;;;;;;;;;;;22;25;47;19;30;49;8;6;1;0;1;1;3;4;;;;;;;;;;;;;;;;;;;2;2;4;1;1;2;433;414;847;124;121;245;130;134;;;;;;;4;8;12;0;1;1;3;5;8;0;1;1;2;4;6;0;0;0;2;3;5;1;1;2;;;;;;;6;11;17;1;2;3;0;0;0;0;1;1;2;2018-03-12;10;-16;-91;-70;-48;-35;-28;-22;-19;-17;-16;1;-15;-13;10;-6;-12;-12;-9;-34;-23;-16;-5;-12;-10;-7;-2;-10;-10;-30;-7;-4;-10;-6;-10;-53;-66;-49;-30;-42;5.0;-27;-19;-14;-11;-7;-8;-8;-100;-68;-44;-30;-27;-42;-46;-88;-11;-83;-100;-66;-35;-13;30;17;9;-7;-2;-12;-9;-12;-13;-18;-27;-67;-45;-73;-49;-34;-14;-22;-19;-69;-47;-64;-40;-11;-4;-4;-2.0;-15;3.0;-25.0;0;18:00:00;-1;MCI;STO
BOU X WBA 2018-03-17;132 (73%);115 (68%);247 (71%);246 (82%);195 (80%);441 (81%);10;9;19;9;9;18;39%;41%;40%;61%;59%;60%;1;1;2;0;0;0;1;2;3;0;0;0;0;4;4;3;5;8;;;;;;;2;0;2;2;1;3;;;;;;;;;;;;;;;;;;;25;24;49;22;29;51;9;6;3;0;3;3;1;4;;;;;;;;;;;;;;;;;;;1;0;1;0;1;1;182;168;350;301;243;544;160;162;;;;;;;2;6;8;3;4;7;1;0;1;1;3;4;3;3;6;3;2;5;2;1;3;4;6;10;;;;;;;4;7;11;7;10;17;1;1;2;1;0;1;1;2018-03-17;2;-1;-46;-26;-35;-10;66;1;3;28;16;-2;5;6;44;25;7;2;-13;-5;-29;-10;-1;-5;-2;-41;-22;-13;-7;6;-5;6;7;-27;10;31;23;17;14;12;45.0;-1;-5;-8;-15;-8;-39;-19;-7;-44;38;16;16;17;17;11;8;10;9;9;9;9;9;10;5;7;3;-3;3;3;33;20;13;39;24;13;84;51;-1;29;39;24;10;7;2;-2;-3;-4;-9.0;1;29.0;0.0;2;13:00:00;1;WBA;BOU
HUD X CRY 2018-03-17;131 (68%);144 (72%);275 (70%);184 (70%);142 (69%);326 (69%);14;18;32;13;8;21;43%;49%;46%;57%;51%;54%;1;1;2;0;0;0;2;2;4;0;0;0;4;3;7;0;1;1;;;;;;;3;4;7;1;3;4;;;;;;;;;;;;;;;;;;;36;51;87;30;36;66;12;11;0;2;2;1;2;3;0;0;0;1;0;1;;;;;;;;;;;;;1;1;2;1;0;1;194;199;393;264;206;470;186;210;;;;;;;5;6;11;0;3;3;2;3;5;0;3;3;2;4;6;0;2;2;3;4;7;0;3;3;;;;;;;8;10;18;0;6;6;0;2;2;0;3;3;2;2018-03-17;-9;-3;3;5;-8;-6;-7;-8;-14;-9;-7;-13;-5;-4;4;-26;-45;-72;-28;-12;5;-35;-10;-9;-5;-1;2;4;8;9;10;10;10;-48;10;9;-31;-11;-3;4;;4;3;-2;-1;29;-2;-3;-3;9;10;13;5;5;-3;3;-4;-3;-29;-54;-29;-15;33;19;16;12;-73;-29;-36;-16;-5;5;4;-37;-21;44;16;3;-20;-5;-40;31;-5;-4;-36;-26;-15;-13;15.0;-6;-5.0;-85.0;0;13:00:00;-1;CRY;HUD
STO X EVE 2018-03-17;168 (78%);178 (83%);346 (80%);142 (76%);114 (72%);256 (74%);4;6;10;9;12;21;54%;60%;57%;46%;40%;43%;1;4;5;0;0;0;1;6;7;0;1;1;1;1;2;1;2;3;;;;;;;2;7;9;1;0;1;0;0;0;1;0;1;;;;;;;;;;;;;22;29;51;33;27;60;12;13;2;1;3;0;6;6;;;;;;;;;;;;;;;;;;;3;1;4;0;0;0;216;215;431;186;158;344;153;144;0;0;0;1;0;1;2;11;13;2;3;5;1;4;5;2;0;2;0;9;9;2;2;4;0;3;3;3;1;4;;;;;;;2;14;16;5;4;9;0;1;1;0;1;1;2;2018-03-17;-7;-16;19;4;5;8;18;70;42;25;16;-8;9;-19;-6;5;4;6;9;38;20;9;-9;3;-17;-14;-16;-16;-13;-21;-13;-13;-13;-3;-11;-4;-1;-3;-6;-5;0.0;-8;-10;-50;-34;33;-24;-10;-1;2;-6;-1;-1;-26;-85;-100;17;-71;-82;-47;-23;-13;-28;-13;35;8;-108;4;-64;-97;-65;-72;-37;-24;-82;-51;-35;-23;-42;33;8;2;4;-3;-89;-54;-38;-64;-39.0;-21;-23.0;-50.0;1;13:00:00;-1;EVE;STO
LIV X WAT 2018-03-17;137 (71%);167 (74%);304 (72%);254 (82%);222 (82%);476 (82%);10;10;20;8;10;18;38%;47%;42%;62%;53%;58%;1;0;1;0;0;0;1;0;1;2;1;3;0;1;1;1;1;2;;;;;;;0;0;0;6;0;6;0;0;0;1;0;1;;;;;;;;;;;;;29;35;64;24;29;53;4;5;1;4;5;1;0;1;0;1;1;0;0;0;;;;;;;;;;;;;3;0;3;3;3;6;193;227;420;311;270;581;166;172;;;;;;;1;1;2;3;7;10;0;2;2;0;1;1;1;0;1;3;7;10;0;2;2;1;2;3;;;;;;;1;3;4;4;9;13;0;0;0;0;1;1;0;2018-03-17;2;-4;4;5;6;7;28;21;22;9;-5;2;5;5;26;38;20;9;3;-1;-7;6;-4;6;3;-5;6;2;21;18;11;-42;-22;5;85;45;31;100;57;6;-5.0;8;20;51;30;81;97;57;-35;-32;-18;-16;-9;-2;1;1;52;8;43;24;13;6;7;-3;-3;3;1;34;1;6;4;2;2;1;1;41;99;59;21;36;21;10;-5;5;10;100;79;46;36.0;13;2.0;45.0;5;15:30:00;1;WAT;LIV
BUR X CHE 2018-04-19;278 (86%);236 (83%);514 (84%);147 (75%);141 (73%);288 (74%);12;18;30;10;10;20;62%;60%;61%;38%;40%;39%;1;1;2;0;0;0;1;1;2;0;0;0;1;5;6;0;1;1;;;;;;;1;1;2;0;3;3;0;1;1;0;0;0;;;;;;;;;;;;;18;39;57;22;23;45;11;9;0;1;1;2;2;4;;;;;;;;;;;;;;;;;;;1;0;1;2;1;3;323;286;609;195;194;389;142;138;;;;;;;4;8;12;1;2;3;3;2;5;1;1;2;2;3;5;0;2;2;3;2;5;0;2;2;;;;;;;6;10;16;1;4;5;0;0;0;1;0;1;2;2018-04-19;-10;-11;-13;-11;-46;-32;-23;-18;-46;-34;-24;-4;-18;-50;-26;-19;-10;-10;-8;-9;-15;-34;-1;-25;-15;35;-62;-25;-21;-8;-14;-11;-13;2;-14;-9;-2;3;4;-25;;-13;-7;5;-5;16;-7;-9;-8;-2;20;1;-1;-1;-1;-1;17;2;1;2;-39;-28;-23;69;23;13;-44;-15;-64;-46;-30;62;-44;-2;4;4;23;8;-7;-8;-7;-10;-38;-28;-22;-5;3;3;4.0;-8;1.0;-5.0;1;16:45:00;-1;CHE;BUR
SWA X SOU 2018-05-08;148 (71%);105 (64%);253 (68%);200 (75%);100 (67%);300 (72%);27;18;45;19;17;36;43%;53%;47%;57%;47%;53%;0;1;1;0;0;0;0;2;2;0;0;0;1;1;2;2;1;3;;;;;;;1;5;6;3;4;7;;;;;;;;;;;;;;;;;;;38;27;65;41;30;71;15;7;1;2;3;2;5;7;;;;;;;;;;;;;;;;;;;0;0;0;0;2;2;208;164;372;266;150;416;151;187;;;;;;;3;6;9;3;1;4;2;1;3;2;3;5;2;6;8;1;2;3;2;2;4;2;5;7;;;;;;;5;8;13;5;6;11;1;0;1;1;1;2;1;2018-05-08;-3;32;-22;4;9;8;7;9;8;10;11;-2;12;-11;-7;5;5;5;4;3;1;1;-1;5;-5;30;-36;-7;24;24;40;32;29;1;14;30;14;5;-22;-13;;-56;-33;60;70;1;46;31;18;6;-41;-25;-15;-35;-21;-11;-11;-53;-33;-50;-26;-12;38;17;10;3;-8;-11;38;16;7;-62;-75;-49;-70;-43;-23;-14;-2;-41;-25;-18;-47;-25;-4;3;33;25;12.0;46;37.0;-40.0;0;16:45:00;-1;SOU;SWA
LEI X ARS 2018-05-09;207 (81%);179 (81%);386 (81%);142 (78%);99 (77%);241 (78%);6;6;12;8;6;14;58%;63%;60%;42%;37%;40%;0;2;2;1;1;2;0;3;3;1;3;4;1;2;3;3;0;3;;;;;;;4;2;6;5;1;6;0;0;0;2;0;2;;;;;;;;;;;;;25;25;50;29;23;52;12;7;5;2;7;4;2;6;0;1;1;0;0;0;;;;;;;;;;;;;1;0;1;1;5;6;257;220;477;182;128;310;138;126;1;0;1;0;0;0;6;6;12;5;4;9;1;3;4;4;2;6;4;3;7;6;4;10;0;2;2;8;2;10;;;;;;;6;8;14;13;6;19;0;2;2;0;2;2;1;2018-05-09;-10;-31;-24;-20;-14;106;91;66;82;100;56;-30;29;75;42;26;20;13;4;1;1;1;-63;31;25;37;14;-13;-4;-83;-20;-11;-5;-42;21;55;20;24;9;-6;60.0;-74;-45;-31;-8;-30;-9;44;28;59;-49;-41;-50;-33;27;15;-17;20;13;2;-6;-1;3;3;-24;-10;-4;-13;-5;-7;-6;-7;-8;-8;77;39;16;3;-61;-62;-85;-54;-36;-25;-15;-10;-12;-8;-5.0;-42;-9.0;75.0;3;16:45:00;1;ARS;LEI
MCI X BHA 2018-05-09;119 (77%);121 (83%);240 (80%);401 (91%);383 (93%);784 (92%);7;3;10;13;8;21;27%;27%;27%;73%;73%;73%;0;1;1;0;0;0;1;1;2;1;0;1;0;0;0;2;2;4;;;;;;;1;2;3;1;3;4;0;0;0;2;0;2;;;;;;;;;;;;;19;14;33;33;25;58;7;5;1;3;4;0;2;2;0;0;0;0;1;1;;;;;;;;;;;;;1;1;2;1;0;1;155;146;301;441;413;854;112;110;;;;;;;1;3;4;6;6;12;1;2;3;4;4;8;1;2;3;3;4;7;1;1;2;3;4;7;;;;;;;2;4;6;9;10;19;1;0;1;0;0;0;1;2018-05-09;5;49;-44;-1;12;41;33;25;93;58;36;7;24;-47;-57;-32;-17;-8;28;25;47;30;10;40;24;16;9;48;100;68;23;22;9;12;-1;-4;6;7;10;12;;13;53;37;27;13;16;13;7;7;7;13;81;41;18;-62;14;-37;29;4;6;17;59;41;33;3;-13;14;-2;8;10;80;83;48;47;27;10;3;14;1;-6;40;-26;5;5;8;6;15;13.0;14;37.0;5.0;3;17:00:00;1;BHA;MCI
TOT X NEW 2018-05-09;79 (58%);132 (72%);211 (66%);244 (82%);215 (84%);459 (83%);12;12;24;8;10;18;32%;43%;38%;68%;57%;62%;0;0;0;0;1;1;0;0;0;0;1;1;1;1;2;0;1;1;;;;;;;2;2;4;2;4;6;;;;;;;;;;;;;;;;;;;31;31;62;21;28;49;8;10;3;3;6;3;0;3;1;0;1;0;0;0;;;;;;;;;;;;;0;1;1;3;1;4;136;183;319;296;255;551;153;148;;;;;;;4;6;10;3;5;8;3;6;9;2;1;3;3;0;3;3;4;7;3;1;4;2;1;3;;;;;;;7;7;14;5;6;11;0;3;3;0;2;2;0;2018-05-09;4;7;51;27;12;-35;-36;-25;23;2;9;5;8;6;8;-14;7;56;31;-26;-3;-37;7;-64;-32;-12;71;45;35;31;20;8;6;7;45;6;9;-35;-16;6;0.0;-6;-2;-42;-28;8;-20;72;33;10;26;100;61;34;18;-44;23;-9;-25;-39;-17;46;29;26;19;27;9;11;3;-2;-26;-15;-7;-7;-2;2;2;-4;5;2;7;5;5;2;-6;-8;-46;-29;-20.0;7;43.0;10.0;1;17:00:00;1;NEW;TOT
WES X MUN 2018-05-10;281 (85%);238 (88%);519 (86%);194 (84%);201 (82%);395 (83%);6;12;18;6;3;9;59%;53%;56%;41%;47%;44%;;;;;;;;;;;;;1;2;3;0;1;1;;;;;;;4;2;6;1;0;1;;;;;;;;;;;;;;;;;;;33;30;63;27;22;49;12;12;2;0;2;5;1;6;1;0;1;0;0;0;;;;;;;;;;;;;1;1;2;1;0;1;329;272;601;232;244;476;129;123;;;;;;;2;5;7;3;2;5;2;5;7;3;3;6;5;1;6;2;0;2;6;3;9;2;2;4;;;;;;;8;8;16;5;4;9;0;1;1;0;1;1;0;2018-05-10;-4;7;-6;13;7;-6;5;12;-7;34;16;-5;11;-63;-33;-41;-24;-94;-55;-61;-31;25;4;14;41;29;9;6;5;-58;-26;-3;-7;-6;-9;-5;-12;-12;-13;-13;0.0;-45;-31;-48;-76;-3;-42;-14;-5;-2;5;6;-37;-18;-9;-4;7;-1;-6;-7;-39;-31;-26;-64;-41;-16;-8;50;-3;-55;-33;-18;-9;-3;4;-4;-3;-5;27;22;7;1;-4;32;16;4;-6;-2;3.0;13;8.0;30.0;0;16:45:00;0;MUN;WES
CRY X LIV 2018-03-31;333 (86%);217 (79%);550 (83%);71 (55%);124 (68%);195 (63%);6;11;17;10;7;17;76%;60%;68%;24%;40%;32%;0;0;0;1;2;3;0;2;2;2;2;4;6;0;6;0;0;0;;;;;;;4;2;6;1;3;4;0;0;0;0;1;1;;;;;;;;;;;;;19;30;49;21;42;63;8;6;1;1;2;4;0;4;;;;;;;;;;;;;;;;;;;1;0;1;1;0;1;386;274;660;130;182;312;175;185;;;;;;;8;3;11;2;2;4;2;2;4;0;3;3;4;2;6;2;1;3;4;1;5;0;2;2;;;;;;;12;4;16;2;4;6;2;0;2;2;0;2;2;2018-03-31;4;30;20;-36;70;23;11;-44;-24;-24;-19;10;-16;-12;-12;-7;-4;-8;-10;-11;-12;-53;1;-62;-40;-25;-21;-16;-29;-24;-26;-23;-49;-5;-33;-26;-61;-43;-65;-45;-50.0;4;-8;-10;-14;-11;-96;-86;-59;-63;-40;-21;-19;-9;-2;31;-11;54;30;14;60;30;12;4;-4;-7;-6;-11;-5;-5;-5;-5;-10;-2;3;-3;-3;-4;-10;-5;-6;13;-48;-27;-100;-44;-30;-17;-4.0;61;38.0;;1;09:30:00;-1;LIV;CRY
BHA X LEI 2018-03-31;183 (81%);157 (71%);340 (76%);176 (79%);97 (65%);273 (73%);10;11;21;6;9;15;51%;58%;54%;49%;42%;46%;0;0;0;1;2;3;0;1;1;1;2;3;0;0;0;3;2;5;;;;;;;0;1;1;0;6;6;0;2;2;0;0;0;;;;;;;;;;;;;28;25;53;19;32;51;13;11;0;3;3;2;0;2;;;;;;;;;;;;;;;;;;;1;0;1;4;2;6;227;221;448;224;150;374;147;162;0;1;1;0;0;0;2;3;5;5;4;9;0;2;2;3;4;7;2;2;4;0;3;3;0;1;1;1;5;6;;;;;;;2;4;6;6;9;15;2;4;6;0;2;2;2;2018-03-31;-4;3;7;2;12;10;13;10;8;1;-2;6;-2;5;-36;-26;-22;-3;10;10;11;18;7;10;12;2;-5;-7;21;11;10;-8;-7;9;-13;-12;-11;-3;3;3;-5.0;3;3;64;39;9;55;31;21;16;15;42;53;29;15;6;9;9;1;-7;-9;7;-3;-5;-11;-11;-7;39;31;11;2;-5;-11;-31;-20;-14;38;15;16;8;2;-48;-37;-100;-67;-42;-3;4;11.0;2;95.0;10.0;0;12:00:00;-1;LEI;BHA
MUN X SWA 2018-03-31;128 (79%);162 (79%);290 (79%);377 (91%);298 (90%);675 (90%);0;4;4;7;4;11;29%;39%;34%;71%;61%;66%;0;0;0;0;3;3;0;0;0;0;3;3;0;1;1;2;0;2;;;;;;;0;3;3;2;1;3;;;;;;;;;;;;;;;;;;;13;17;30;25;26;51;13;5;2;1;3;0;2;2;;;;;;;;;;;;;;;;;;;0;1;1;2;3;5;162;204;366;414;332;746;120;123;;;;;;;0;3;3;5;3;8;0;0;0;2;2;4;0;2;2;4;1;5;0;0;0;3;0;3;;;;;;;0;3;3;8;3;11;;;;;;;0;2018-03-31;13;12;52;68;47;18;18;39;22;14;10;11;17;88;57;39;29;22;32;21;15;11;10;14;38;35;23;17;12;8;7;7;10;9;13;19;16;14;9;6;5.0;17;15;9;11;84;12;12;12;14;15;15;50;31;49;30;54;-64;-70;-37;-24;-13;-27;-12;-6;-12;-11;37;-8;-8;-14;-16;-13;-1;2;1;2;3;28;42;31;13;2;8;8;10;13;9;8.0;21;7.0;5.0;2;12:00:00;1;SWA;MUN
NEW X HUD 2018-03-31;103 (69%);119 (63%);222 (65%);258 (84%);209 (76%);467 (80%);8;9;17;6;12;18;34%;41%;37%;66%;59%;63%;0;2;2;3;0;3;0;2;2;3;1;4;1;1;2;6;0;6;;;;;;;2;1;3;2;1;3;;;;;;;;;;;;;;;;;;;23;32;55;19;29;48;10;9;2;0;2;0;0;0;;;;;;;;;;;;;;;;;;;0;1;1;2;1;3;150;189;339;306;276;582;173;181;;;;;;;0;1;1;8;2;10;1;1;2;5;4;9;0;0;0;2;1;3;2;1;3;5;3;8;;;;;;;2;2;4;13;5;18;2;2;4;1;0;1;0;2018-03-31;9;8;11;13;14;25;52;34;93;57;35;10;40;30;19;13;14;-19;40;17;13;38;6;30;16;11;42;24;15;5;-4;-6;-2;-36;3;2;4;4;4;1;0.0;14;27;15;9;-17;10;9;8;10;10;10;15;8;3;-26;-4;-8;12;9;16;17;-20;-11;36;16;10;7;33;21;10;7;5;6;14;13;13;12;6;17;89;58;31;15;5;5;30;17;30.0;12;12.0;-15.0;1;12:00:00;1;HUD;NEW
WAT X BOU 2018-03-31;172 (85%);166 (74%);338 (79%);202 (83%);120 (66%);322 (76%);6;15;21;7;8;15;46%;55%;51%;54%;45%;49%;1;0;1;0;0;0;2;1;3;0;0;0;2;1;3;7;0;7;;;;;;;2;2;4;4;3;7;;;;;;;;;;;;;;;;;;;25;37;62;23;25;48;6;16;2;1;3;2;2;4;1;0;1;0;0;0;;;;;;;;;;;;;1;3;4;1;2;3;203;223;426;243;181;424;149;162;;;;;;;5;2;7;3;2;5;3;1;4;1;3;4;3;3;6;3;2;5;3;3;6;8;3;11;;;;;;;8;5;13;11;5;16;0;0;0;1;3;4;2;2018-03-31;1;-23;-13;-7;27;100;72;54;33;-30;31;1;7;-33;-18;-10;29;-32;-11;-3;27;18;1;8;34;25;18;10;11;4;-3;-3;-26;-32;20;-7;-3;-100;-74;9;0.0;5;3;1;51;-21;100;62;62;31;20;1;0;-11;-6;20;-19;9;-8;-8;-47;-36;-27;-18;-12;-6;-5;-18;3;3;-18;-12;-10;-4;-6;-15;-51;-47;-54;-20;-8;-1;16;25;8;4;7;3;-1.0;-36;-1.0;-80.0;2;12:00:00;0;BOU;WAT
WBA X BUR 2018-03-31;249 (84%);120 (72%);369 (80%);148 (74%);152 (71%);300 (72%);11;14;25;12;17;29;60%;43%;53%;40%;57%;47%;0;0;0;0;1;1;0;1;1;0;1;1;1;0;1;1;1;2;;;;;;;3;3;6;0;1;1;;;;;;;;;;;;;;;;;;;26;26;52;25;40;65;9;12;2;0;2;1;1;2;;;;;;;;;;;;;;;;;;;1;1;2;0;2;2;295;166;461;200;214;414;153;160;;;;;;;4;2;6;4;3;7;4;2;6;1;2;3;2;2;4;2;1;3;3;2;5;0;1;1;;;;;;;7;4;11;4;4;8;0;3;3;0;1;1;2;2018-03-31;-10;30;14;1;2;8;-4;-4;-10;-10;-10;-6;-9;-9;-8;-88;-58;-41;-31;-64;-41;-28;-4;-21;-16;-35;-45;-56;-79;-53;-30;-7;-1;-23;3;4;-29;-15;-2;7;70.0;-6;-2;-2;-2;-14;4;5;2;-6;-3;4;4;6;18;26;-8;16;10;6;-25;21;-8;-25;-14;-6;-34;-5;-24;-12;-6;11;-69;-30;-15;-7;-2;5;-4;-33;-15;-6;-1;3;85;50;53;31;22.0;-1;-21.0;5.0;1;12:00:00;-1;BUR;WBA
WES X SOU 2018-03-31;104 (64%);189 (78%);293 (73%);156 (75%);105 (64%);261 (70%);7;9;16;9;11;20;43%;61%;52%;57%;39%;48%;0;0;0;2;0;2;0;0;0;3;0;3;0;4;4;3;0;3;;;;;;;1;8;9;5;0;5;0;0;0;2;0;2;;;;;;;;;;;;;21;33;54;26;38;64;16;9;1;1;2;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;0;0;0;1;0;1;162;242;404;209;165;374;164;169;;;;;;;0;6;6;7;1;8;0;5;5;1;3;4;0;0;0;4;1;5;0;3;3;1;3;4;;;;;;;0;9;9;8;4;12;0;3;3;0;0;0;0;2018-03-31;4;17;31;14;-26;80;40;53;32;100;71;5;42;22;23;11;30;17;8;8;33;26;6;-22;-4;8;-5;7;9;12;32;25;11;31;8;1;-4;-1;6;6;80.0;2;-1;-1;-1;22;-22;-20;-53;-33;-21;-2;4;7;8;-26;16;-37;-53;-7;-62;-38;-23;-19;19;5;-5;8;-4;-11;-15;-36;-23;-15;-10;38;18;9;9;-34;-20;-18;-14;-42;-18;-7;-25;-15;-7.0;27;-1.0;-5.0;3;12:00:00;1;SOU;WES
