game;addedTime;assist1;awayScore;homeScore;id;incidentClass;incidentType;isHome;player;time
D98 X STP 18-08-2017;;;0;2;121612061;penalty;goal;True;{'name': 'Tobias Kempe', 'slug': 'tobias-kempe', 'shortName': 'T. Kempe', 'position': 'M', 'userCount': 74, 'id': 37630};49
D98 X STP 18-08-2017;;;0;1;121612060;regular;goal;True;{'name': 'Kevin Großkreutz', 'slug': 'kevin-grosskreutz', 'shortName': 'K. Großkreutz', 'position': 'D', 'userCount': 86, 'id': 18680};9
EBR X AUE 18-08-2017;;{'name': 'Christoffer Nyman', 'slug': 'christoffer-nyman', 'shortName': 'C. Nyman', 'position': 'F', 'userCount': 124, 'id': 126774};1;1;121612097;regular;goal;True;{'name': 'Salim Khelifi', 'slug': 'salim-khelifi', 'shortName': 'S. Khelifi', 'position': 'M', 'userCount': 170, 'id': 134250};26
EBR X AUE 18-08-2017;;{'name': 'Christian Tiffert', 'slug': 'christian-tiffert', 'shortName': 'C. Tiffert', 'position': 'D', 'userCount': 8, 'id': 424};1;0;121612098;regular;goal;False;{'name': 'Dimitriy Nazarov', 'slug': 'dimitriy-nazarov', 'shortName': 'D. Nazarov', 'position': 'M', 'userCount': 220, 'id': 96920};24
HEI X DUI 19-08-2017;;{'name': 'Cauly Oliveira', 'slug': 'cauly-oliveira', 'shortName': 'C. Oliveira', 'position': 'M', 'userCount': 105, 'id': 255873};2;1;121614670;regular;goal;False;{'name': 'Borys Tashchy', 'slug': 'borys-tashchy', 'shortName': 'B. Tashchy', 'position': 'F', 'userCount': 60, 'id': 111726};66
HEI X DUI 19-08-2017;;{'name': 'Borys Tashchy', 'slug': 'borys-tashchy', 'shortName': 'B. Tashchy', 'position': 'F', 'userCount': 60, 'id': 111726};1;1;121614669;regular;goal;False;{'name': 'Moritz Stoppelkamp', 'slug': 'moritz-stoppelkamp', 'shortName': 'M. Stoppelkamp', 'position': 'M', 'userCount': 33, 'id': 8740};61
HEI X DUI 19-08-2017;;{'name': 'Marcel Titsch-Rivero', 'slug': 'marcel-titsch-rivero', 'shortName': 'M. Titsch-Rivero', 'position': 'M', 'userCount': 2, 'id': 40230};0;1;121614668;regular;goal;True;{'name': 'Robert Glatzel', 'slug': 'robert-glatzel', 'shortName': 'R. Glatzel', 'position': 'F', 'userCount': 133, 'id': 168987};59
DRE X SAN 19-08-2017;;;4;0;121614651;regular;goal;False;{'name': 'Nejmeddin Daghfous', 'slug': 'nejmeddin-daghfous', 'shortName': 'N. Daghfous', 'position': 'M', 'userCount': 35, 'id': 30263};89
DRE X SAN 19-08-2017;;{'name': 'Nejmeddin Daghfous', 'slug': 'nejmeddin-daghfous', 'shortName': 'N. Daghfous', 'position': 'M', 'userCount': 35, 'id': 30263};3;0;121614650;regular;goal;False;{'name': 'Haji Wright', 'slug': 'haji-wright', 'shortName': 'H. Wright', 'position': 'F', 'userCount': 89, 'id': 818391};79
DRE X SAN 19-08-2017;;{'name': 'Nejmeddin Daghfous', 'slug': 'nejmeddin-daghfous', 'shortName': 'N. Daghfous', 'position': 'M', 'userCount': 35, 'id': 30263};2;0;121614649;regular;goal;False;{'name': 'Lucas Höler', 'slug': 'lucas-holer', 'shortName': 'L. Höler', 'position': 'F', 'userCount': 184, 'id': 280009};71
