game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
KAR X HKI 01-02-2020;1.0;False;1711;cardUpgrade;varDecision;True;{'name': 'Damian Roßbach', 'slug': 'damian-rossbach', 'shortName': 'D. Roßbach', 'position': 'D', 'userCount': 6, 'id': 142116};90
DRE X D98 07-02-2020;;False;1795;goalAwarded;varDecision;True;{'name': 'Patrick Schmidt', 'slug': 'patrick-schmidt', 'shortName': 'P. Schmidt', 'position': 'F', 'userCount': 54, 'id': 142189};73
FUR X H96 09-02-2020;;False;1831;penaltyNotAwarded;varDecision;True;{'name': 'Håvard Nielsen', 'slug': 'havard-nielsen', 'shortName': 'H. Nielsen', 'position': 'F', 'userCount': 63, 'id': 94002};61
HKI X STP 10-02-2020;4.0;False;1846;penaltyNotAwarded;varDecision;False;{'name': 'Henk Veerman', 'slug': 'henk-veerman', 'shortName': 'H. Veerman', 'position': 'F', 'userCount': 163, 'id': 313264};90
STP X DRE 14-02-2020;;False;1858;penaltyAwarded;varDecision;False;{'name': 'Chris Löwe', 'slug': 'chris-lowe', 'shortName': 'C. Löwe', 'position': 'M', 'userCount': 52, 'id': 38547};84
JAH X WEH 15-02-2020;;False;1866;goalAwarded;varDecision;False;{'name': 'Manuel Schäffler', 'slug': 'manuel-schaffler', 'shortName': 'M. Schäffler', 'position': 'F', 'userCount': 166, 'id': 26758};18
FUR X ARM 15-02-2020;;False;1868;goalAwarded;varDecision;False;{'name': 'Fabian Klos', 'slug': 'fabian-klos', 'shortName': 'F. Klos', 'position': 'F', 'userCount': 327, 'id': 85058};64
HSV X STP 22-02-2020;;False;1952;goalAwarded;varDecision;False;{'name': 'Rico Benatelli', 'slug': 'rico-benatelli', 'shortName': 'R. Benatelli', 'position': 'M', 'userCount': 19, 'id': 142628};67
STU X JAH 22-02-2020;;False;1950;goalAwarded;varDecision;True;{'name': 'Gregor Kobel', 'slug': 'gregor-kobel', 'shortName': 'G. Kobel', 'position': 'G', 'userCount': 198, 'id': 556866};51
STU X JAH 22-02-2020;;False;1948;goalAwarded;varDecision;True;{'name': 'Orel Mangala', 'slug': 'orel-mangala', 'shortName': 'O. Mangala', 'position': 'M', 'userCount': 395, 'id': 793988};20
