game;addedTime;id;incidentClass;incidentType;isHome;player;reason;time
LIV X QPR 2015-05-02;;118303555;yellow;card;False;{'name': 'Richard Dunne', 'slug': 'richard-dunne', 'shortName': 'R. Dunne', 'position': 'D', 'userCount': 2, 'id': 1089};Foul;76
LIV X QPR 2015-05-02;;118303553;yellow;card;True;{'name': 'Dejan Lovren', 'slug': 'dejan-lovren', 'shortName': 'D. Lovren', 'position': 'D', 'userCount': 5870, 'id': 39480};Foul;75
LIV X QPR 2015-05-02;;118303354;yellow;card;False;{'name': 'Sandro', 'slug': 'sandro', 'shortName': 'Sandro', 'position': 'M', 'userCount': 138, 'id': 43301};Foul;43
LIV X QPR 2015-05-02;;118303312;yellow;card;True;{'name': 'Steven Gerrard', 'slug': 'steven-gerrard', 'shortName': 'S. Gerrard', 'position': 'M', 'userCount': 1393, 'id': 701};Foul;18
SUN X SOU 2015-05-02;5.0;118303595;yellow;card;False;{'name': 'Graziano Pellè', 'slug': 'graziano-pelle', 'shortName': 'G. Pellè', 'position': 'F', 'userCount': 801, 'id': 11601};Argument;90
SUN X SOU 2015-05-02;;118303540;yellow;card;False;{'name': 'Victor Wanyama', 'slug': 'victor-wanyama', 'shortName': 'V. Wanyama', 'position': 'M', 'userCount': 3939, 'id': 45956};Foul;63
SUN X SOU 2015-05-02;;118303537;yellow;card;True;{'name': 'Lee Cattermole', 'slug': 'lee-cattermole', 'shortName': 'L. Cattermole', 'position': 'M', 'userCount': 54, 'id': 14210};Foul;60
SUN X SOU 2015-05-02;;118303523;red;card;False;{'name': 'James Ward-Prowse', 'slug': 'james-ward-prowse', 'shortName': 'J. Ward-Prowse', 'position': 'M', 'userCount': 840, 'id': 161717};Professional foul;54
SUN X SOU 2015-05-02;;118303334;yellow;card;True;{'name': 'Billy Jones', 'slug': 'billy-jones', 'shortName': 'B. Jones', 'position': 'D', 'userCount': 5, 'id': 27338};Foul;32
SWA X STO 2015-05-02;;118303576;yellowRed;card;False;{'name': 'Marc Wilson', 'slug': 'marc-wilson', 'shortName': 'M. Wilson', 'position': 'M', 'userCount': 8, 'id': 9104};Foul;84
