game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
HEL X TOR 15-12-2019;;False;1346;goalAwarded;varDecision;False;{'name': 'Alex Berenguer', 'slug': 'alex-berenguer', 'shortName': 'Á. Berenguer', 'position': 'F', 'userCount': 696, 'id': 592012};26
MIL X SAS 15-12-2019;;False;1349;goalAwarded;varDecision;True;{'name': 'Franck Kessié', 'slug': 'franck-kessie', 'shortName': 'F. Kessié', 'position': 'M', 'userCount': 2929, 'id': 359226};33
FIO X INT 15-12-2019;;False;1358;goalAwarded;varDecision;False;{'name': 'Lautaro Martínez', 'slug': 'lautaro-martinez', 'shortName': 'L. Martínez', 'position': 'F', 'userCount': 15517, 'id': 823984};40
SAS X NAP 22-12-2019;;False;1406;goalAwarded;varDecision;False;{'name': 'José Callejón', 'slug': 'jose-callejon', 'shortName': 'J. Callejón', 'position': 'M', 'userCount': 2942, 'id': 40965};82
GEN X SAS 05-01-2020;;False;1486;goalAwarded;varDecision;False;{'name': 'Filip Đuričić', 'slug': 'filip-djuricic', 'shortName': 'F. Đuričić', 'position': 'M', 'userCount': 595, 'id': 69367};76
ROM X TOR 05-01-2020;;False;1488;penaltyNotAwarded;varDecision;False;{'name': 'Andrea Belotti', 'slug': 'andrea-belotti', 'shortName': 'A. Belotti', 'position': 'F', 'userCount': 4571, 'id': 220223};83
LEC X UDI 06-01-2020;;False;1489;goalAwarded;varDecision;False;{'name': 'Stefano Okaka', 'slug': 'stefano-okaka', 'shortName': 'S. Okaka', 'position': 'F', 'userCount': 700, 'id': 13148};50
ROM X JUV 12-01-2020;;False;1528;penaltyNotAwarded;varDecision;True;{'name': 'Cengiz Ünder', 'slug': 'cengiz-under', 'shortName': 'C. Ünder', 'position': 'M', 'userCount': 7248, 'id': 758876};67
LAZ X SAM 18-01-2020;;False;1565;penaltyNotAwarded;varDecision;True;{'name': 'Luis Alberto', 'slug': 'luis-alberto', 'shortName': 'L. Alberto', 'position': 'M', 'userCount': 3043, 'id': 111416};63
NAP X FIO 18-01-2020;;True;1582;penaltyNotAwarded;varDecision;False;{'name': 'Erick Pulgar', 'slug': 'erick-pulgar', 'shortName': 'E. Pulgar', 'position': 'M', 'userCount': 2646, 'id': 590262};19
