game;fixture;id;team_home;team_away;date;link;home_score;away_score
ING X BCS 10-09-2016;2;7108291;ING;BCS;10-09-2016;https://www.sofascore.com/pt/ingolstadt-hertha-bsc/DabsFrc;0;2
WOB X KOL 10-09-2016;2;7108321;WOB;KOL;10-09-2016;https://www.sofascore.com/pt/1-fc-koln-wolfsburg/zabswdb;0;0
RBL X DOR 10-09-2016;2;7108648;RBL;DOR;10-09-2016;https://www.sofascore.com/pt/rb-leipzig-borussia-dortmund/ydbskCo;1;0
SVW X AUG 11-09-2016;2;7108293;SVW;AUG;11-09-2016;https://www.sofascore.com/pt/augsburg-werder-bremen/Jabsacb;1;2
MAI X TSG 11-09-2016;2;7108289;MAI;TSG;11-09-2016;https://www.sofascore.com/pt/1899-hoffenheim-1-fsv-mainz-05/gbbsubb;4;4
KOL X SCF 16-09-2016;3;7108495;KOL;SCF;16-09-2016;https://www.sofascore.com/pt/1-fc-koln-freiburg/Nabswdb;3;0
TSG X WOB 17-09-2016;3;7108309;TSG;WOB;17-09-2016;https://www.sofascore.com/pt/1899-hoffenheim-wolfsburg/zabsubb;0;0
BAY X ING 17-09-2016;3;7108294;BAY;ING;17-09-2016;https://www.sofascore.com/pt/ingolstadt-bayern-munchen/xdbsFrc;3;1
DOR X D98 17-09-2016;3;7108295;DOR;D98;17-09-2016;https://www.sofascore.com/pt/borussia-dortmund-darmstadt-98/Bbbsydb;6;0
SGE X BLK 17-09-2016;3;7108298;SGE;BLK;17-09-2016;https://www.sofascore.com/pt/bayer-04-leverkusen-eintracht-frankfurt/zdbsGdb;2;1
HSV X RBL 17-09-2016;3;7108649;HSV;RBL;17-09-2016;https://www.sofascore.com/pt/rb-leipzig-hamburger-sv/BdbskCo;0;4
BMG X SVW 17-09-2016;3;7108307;BMG;SVW;17-09-2016;https://www.sofascore.com/pt/werder-bremen-borussia-mgladbach/CabsJab;4;1
AUG X MAI 18-09-2016;3;7108297;AUG;MAI;18-09-2016;https://www.sofascore.com/pt/augsburg-1-fsv-mainz-05/gbbsacb;1;3
BCS X S04 18-09-2016;3;7108296;BCS;S04;18-09-2016;https://www.sofascore.com/pt/fc-schalke-04-hertha-bsc/DabsFab;2;0
D98 X TSG 20-09-2016;4;7108375;D98;TSG;20-09-2016;https://www.sofascore.com/pt/darmstadt-98-1899-hoffenheim/ubbsBbb;1;1
SCF X HSV 20-09-2016;4;7108302;SCF;HSV;20-09-2016;https://www.sofascore.com/pt/hamburger-sv-freiburg/NabsBdb;1;0
ING X SGE 20-09-2016;4;7108299;ING;SGE;20-09-2016;https://www.sofascore.com/pt/ingolstadt-eintracht-frankfurt/zdbsFrc;0;2
WOB X DOR 20-09-2016;4;7108311;WOB;DOR;20-09-2016;https://www.sofascore.com/pt/borussia-dortmund-wolfsburg/zabsydb;1;5
