game;away_score;data;form_minute_-11;form_minute_-13;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
CAP X SPO 02-07-2015;;;;;1.0;-2.0;19.0;3.0;1.0;-22.0;39.0;28.0;-32.0;-9.0;-10.0;1.0;-10.0;-38.0;-21.0;49.0;20.0;40.0;25.0;-41.0;-18.0;-31.0;2.0;-21.0;-12.0;5.0;-40.0;-16.0;-38.0;-17.0;76.0;42.0;25.0;-4.0;18.0;6.0;-1.0;1.0;-4.0;-5.0;25.0;-1.0;1.0;-4.0;-1.0;-4.0;1.0;26.0;10.0;12.0;8.0;5.0;-10.0;-3.0;-1.0;76.0;-3.0;49.0;61.0;32.0;19.0;1.0;6.0;32.0;19.0;16.0;9.0;-3.0;5.0;-6.0;-77.0;-51.0;-30.0;-48.0;-23.0;-8.0;-4.0;-3.0;-3.0;5.0;12.0;2.0;-31.0;-17.0;-10.0;-12.0;-7.0;-2.0;-1.0;-3.0;5.0;0.0;;;;;
GRE X CRU 02-07-2015;;;;;0.0;-1.0;0.0;5.0;2.0;61.0;36.0;26.0;20.0;77.0;36.0;0.0;51.0;35.0;35.0;16.0;40.0;46.0;22.0;17.0;5.0;-40.0;-10.0;-20.0;-6.0;-29.0;-22.0;-10.0;-11.0;-47.0;-31.0;-18.0;-5.0;-10.0;-8.0;-6.0;-3.0;20.0;15.0;14.0;-30.0;25.0;74.0;44.0;21.0;10.0;12.0;50.0;25.0;-35.0;-6.0;-23.0;-17.0;-15.0;-36.0;-17.0;-5.0;15.0;8.0;5.0;5.0;7.0;93.0;100.0;100.0;64.0;100.0;-6.0;65.0;33.0;13.0;7.0;5.0;-45.0;-25.0;-14.0;-13.0;-3.0;-3.0;1.0;-5.0;20.0;-45.0;100.0;42.0;-35.0;-7.0;5.0;-5.0;-1.0;0.0;10.0;;;;;
JOI X FLA 02-07-2015;;;;;-1.0;3.0;6.0;3.0;-1.0;-1.0;-1.0;-5.0;-3.0;-2.0;30.0;-1.0;16.0;-61.0;-50.0;-30.0;-30.0;-18.0;-1.0;1.0;-5.0;-6.0;-1.0;-4.0;-7.0;-4.0;-2.0;-5.0;-13.0;-7.0;-4.0;-2.0;6.0;45.0;3.0;6.0;4.0;2.0;6.0;3.0;5.0;1.0;-20.0;-51.0;-29.0;25.0;-12.0;31.0;-40.0;-16.0;16.0;3.0;-74.0;-46.0;-21.0;-13.0;14.0;-7.0;1.0;31.0;18.0;41.0;25.0;20.0;-31.0;-13.0;-5.0;8.0;-4.0;-3.0;-1.0;-6.0;-4.0;-3.0;-2.0;-2.0;5.0;1.0;24.0;-1.0;-1.0;-1.0;-11.0;-7.0;-5.0;-3.0;5.0;1.0;5.0;5.0;10.0;-5.0;;;;;
COR X PON 02-07-2015;;;;;1.0;46.0;23.0;16.0;5.0;3.0;1.0;1.0;11.0;1.0;41.0;1.0;-30.0;26.0;12.0;13.0;5.0;5.0;1.0;6.0;3.0;3.0;-5.0;2.0;32.0;24.0;55.0;33.0;46.0;31.0;48.0;36.0;62.0;-2.0;66.0;100.0;66.0;34.0;18.0;-5.0;0.0;-2.0;-1.0;60.0;4.0;6.0;2.0;6.0;3.0;5.0;3.0;1.0;-31.0;40.0;-41.0;-16.0;62.0;-30.0;-15.0;-12.0;-4.0;-2.0;-1.0;-1.0;-10.0;-1.0;-1.0;77.0;-50.0;-30.0;-22.0;-13.0;30.0;16.0;9.0;5.0;-6.0;5.0;46.0;-6.0;-2.0;-1.0;-1.0;-1.0;-20.0;-57.0;-59.0;-40.0;-23.0;28.0;-12.0;50.0;;;;;
FIG X GOI 02-07-2015;;;;;1.0;6.0;1.0;43.0;25.0;-30.0;-9.0;-5.0;-55.0;-33.0;-17.0;1.0;-10.0;-10.0;-7.0;-4.0;-3.0;75.0;13.0;8.0;4.0;2.0;35.0;-4.0;-1.0;-1.0;-5.0;75.0;42.0;19.0;11.0;7.0;5.0;21.0;61.0;41.0;19.0;5.0;6.0;-2.0;30.0;-2.0;-77.0;-47.0;-30.0;2.0;-15.0;-11.0;-8.0;-7.0;-1.0;28.0;8.0;7.0;2.0;3.0;1.0;-3.0;38.0;-63.0;-46.0;-35.0;-18.0;-23.0;-43.0;-28.0;-16.0;-40.0;-39.0;-22.0;-10.0;-35.0;-25.0;-12.0;-46.0;-22.0;-8.0;24.0;-25.0;83.0;45.0;24.0;-22.0;-3.0;-9.0;-6.0;4.0;-2.0;-27.0;-9.0;-2.0;-70.0;;;;;
FLU X SAN 03-07-2015;;;;;0.0;7.0;6.0;3.0;1.0;6.0;-5.0;-1.0;5.0;2.0;-10.0;-40.0;-4.0;5.0;0.0;0.0;-50.0;-29.0;-12.0;10.0;1.0;9.0;-28.0;-5.0;0.0;5.0;7.0;-5.0;0.0;0.0;5.0;2.0;26.0;-17.0;100.0;59.0;30.0;18.0;8.0;5.0;0.0;0.0;-5.0;-7.0;-4.0;-5.0;30.0;11.0;-30.0;-13.0;-82.0;-51.0;-20.0;-4.0;-2.0;8.0;35.0;5.0;2.0;-10.0;10.0;7.0;14.0;38.0;23.0;8.0;9.0;26.0;34.0;18.0;-40.0;-16.0;-10.0;-8.0;5.0;-25.0;-13.0;-7.0;21.0;5.0;75.0;46.0;27.0;16.0;19.0;5.0;33.0;19.0;11.0;12.0;5.0;-75.0;;;;;
CFC X JOI 04-07-2015;;;;;1.0;5.0;13.0;49.0;29.0;13.0;13.0;7.0;7.0;9.0;-10.0;1.0;-6.0;-8.0;-4.0;-7.0;-8.0;-3.0;21.0;46.0;33.0;15.0;11.0;10.0;6.0;2.0;-4.0;-4.0;2.0;-3.0;7.0;4.0;4.0;-10.0;4.0;54.0;33.0;21.0;19.0;33.0;30.0;2.0;-6.0;-7.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-5.0;5.0;-6.0;-2.0;-1.0;-1.0;6.0;-21.0;-12.0;-12.0;-7.0;5.0;-46.0;-70.0;-91.0;-54.0;-43.0;-5.0;-22.0;-4.0;6.0;-5.0;31.0;19.0;11.0;42.0;30.0;26.0;-1.0;11.0;47.0;31.0;-40.0;-42.0;-4.0;-25.0;-14.0;-5.0;21.0;1.0;10.0;30.0;;;;;
CHA X VAS 05-07-2015;;;;;-1.0;8.0;-30.0;-17.0;21.0;6.0;4.0;55.0;33.0;18.0;11.0;-40.0;-30.0;-56.0;-28.0;-21.0;-51.0;-22.0;31.0;7.0;5.0;46.0;-23.0;48.0;47.0;24.0;-20.0;-25.0;-20.0;31.0;16.0;11.0;24.0;-13.0;15.0;7.0;24.0;35.0;50.0;6.0;0.0;4.0;3.0;23.0;45.0;-7.0;32.0;20.0;13.0;-34.0;-12.0;-11.0;-5.0;7.0;35.0;61.0;71.0;58.0;65.0;39.0;27.0;19.0;31.0;22.0;74.0;74.0;44.0;42.0;25.0;20.0;8.0;3.0;7.0;80.0;48.0;29.0;18.0;31.0;20.0;48.0;29.0;23.0;14.0;7.0;7.0;5.0;-5.0;1.0;6.0;12.0;-30.0;-25.0;;;;;
CRU X CAP 05-07-2015;;;;;0.0;2.0;-5.0;5.0;6.0;3.0;-5.0;-16.0;-10.0;-6.0;5.0;0.0;-5.0;-1.0;0.0;0.0;0.0;-5.0;5.0;1.0;5.0;43.0;0.0;41.0;24.0;9.0;45.0;43.0;100.0;73.0;48.0;26.0;14.0;0.0;1.0;75.0;44.0;1.0;0.0;0.0;-5.0;0.0;40.0;38.0;23.0;0.0;13.0;-20.0;-45.0;85.0;-35.0;30.0;18.0;18.0;4.0;10.0;0.0;4.0;2.0;-5.0;55.0;30.0;-30.0;-6.0;-3.0;-11.0;-26.0;0.0;70.0;38.0;22.0;88.0;54.0;27.0;15.0;9.0;0.0;0.0;0.0;25.0;24.0;-20.0;-3.0;20.0;13.0;12.0;8.0;-40.0;-22.0;5.0;20.0;5.0;;;;;
AVA X SPT 05-07-2015;;;;;1.0;6.0;6.0;2.0;3.0;-10.0;-4.0;-3.0;-1.0;6.0;-5.0;1.0;1.0;1.0;-74.0;-39.0;-33.0;-14.0;46.0;77.0;45.0;28.0;-5.0;16.0;-20.0;16.0;2.0;1.0;6.0;10.0;10.0;81.0;48.0;-7.0;100.0;61.0;76.0;9.0;1.0;-4.0;-35.0;-45.0;-76.0;-45.0;-86.0;-4.0;-46.0;-24.0;-5.0;-8.0;1.0;26.0;9.0;5.0;43.0;31.0;41.0;21.0;13.0;38.0;24.0;19.0;51.0;-30.0;-1.0;-1.0;-5.0;22.0;-6.0;-1.0;1.0;1.0;-5.0;-100.0;-60.0;-25.0;41.0;20.0;-20.0;49.0;39.0;23.0;5.0;8.0;-10.0;-9.0;-5.0;-2.0;-41.0;-3.0;-28.0;-80.0;;;;;
GOI X COR 05-07-2015;;;;;-6.0;5.0;23.0;34.0;20.0;12.0;7.0;33.0;-100.0;-67.0;-19.0;-2.0;-11.0;-13.0;1.0;-5.0;-3.0;6.0;-5.0;1.0;1.0;1.0;-1.0;1.0;18.0;9.0;-42.0;-17.0;-12.0;-15.0;-15.0;-47.0;-30.0;6.0;-79.0;-78.0;-47.0;-26.0;-57.0;-31.0;0.0;-3.0;38.0;19.0;9.0;3.0;3.0;-18.0;-14.0;-5.0;-5.0;-40.0;-22.0;-12.0;-7.0;-63.0;2.0;-29.0;-17.0;-4.0;-2.0;-10.0;11.0;3.0;2.0;1.0;22.0;2.0;7.0;44.0;-31.0;-3.0;-4.0;-8.0;-19.0;-9.0;-6.0;4.0;1.0;-1.0;4.0;-61.0;-40.0;-30.0;-19.0;-12.0;-53.0;-32.0;-19.0;1.0;-12.0;-25.0;;;;;
SAN X GRE 05-07-2015;;;;;10.0;20.0;7.0;7.0;9.0;10.0;4.0;2.0;1.0;0.0;10.0;5.0;10.0;6.0;-5.0;0.0;-1.0;-1.0;-5.0;-12.0;-7.0;-19.0;3.0;-11.0;-36.0;-25.0;-50.0;-28.0;-22.0;-10.0;-6.0;-6.0;-18.0;-5.0;-10.0;-6.0;-3.0;-41.0;40.0;-30.0;0.0;-17.0;30.0;11.0;6.0;-76.0;-75.0;-40.0;-26.0;-20.0;-7.0;1.0;0.0;-15.0;-13.0;-43.0;-51.0;-30.0;-18.0;-9.0;-5.0;0.0;75.0;44.0;-80.0;-31.0;-18.0;-65.0;30.0;7.0;5.0;-5.0;0.0;5.0;1.0;1.0;1.0;0.0;-38.0;-10.0;-80.0;-53.0;-31.0;-23.0;-13.0;5.0;-30.0;-16.0;30.0;-22.0;10.0;-35.0;;;;;
SPO X FLU 05-07-2015;;;;;2.0;1.0;-29.0;-26.0;-14.0;-8.0;-34.0;-42.0;-23.0;40.0;9.0;8.0;-21.0;-10.0;-6.0;-7.0;8.0;20.0;44.0;28.0;24.0;11.0;6.0;-8.0;-1.0;-28.0;-15.0;-6.0;-1.0;3.0;40.0;20.0;14.0;11.0;10.0;3.0;-2.0;3.0;-3.0;-3.0;5.0;23.0;50.0;27.0;13.0;33.0;5.0;4.0;-3.0;-4.0;-5.0;-5.0;-11.0;-14.0;-10.0;-1.0;21.0;6.0;3.0;7.0;9.0;10.0;16.0;14.0;13.0;12.0;52.0;13.0;35.0;20.0;17.0;14.0;35.0;30.0;28.0;61.0;100.0;100.0;3.0;100.0;100.0;63.0;28.0;14.0;-19.0;-3.0;-6.0;-6.0;62.0;2.0;7.0;0.0;;;;;
FLA X FIG 05-07-2015;;;;;-3.0;10.0;3.0;34.0;18.0;12.0;9.0;3.0;8.0;6.0;86.0;27.0;58.0;41.0;25.0;15.0;4.0;3.0;7.0;5.0;36.0;-77.0;11.0;-24.0;-17.0;-7.0;-5.0;24.0;35.0;27.0;23.0;20.0;12.0;-8.0;12.0;3.0;8.0;6.0;5.0;-4.0;-40.0;2.0;31.0;94.0;51.0;27.0;26.0;21.0;10.0;1.0;1.0;6.0;4.0;8.0;25.0;20.0;82.0;12.0;7.0;-75.0;-37.0;-22.0;-22.0;-17.0;11.0;8.0;8.0;44.0;28.0;50.0;32.0;27.0;19.0;17.0;11.0;-47.0;-26.0;24.0;23.0;61.0;29.0;4.0;35.0;-59.0;-26.0;-8.0;7.0;2.0;6.0;25.0;2.0;-70.0;;;;;
INT X CAM 05-07-2015;;;;;1.0;9.0;-29.0;-13.0;-7.0;-3.0;32.0;20.0;12.0;43.0;31.0;1.0;12.0;8.0;11.0;-4.0;1.0;20.0;17.0;15.0;15.0;9.0;6.0;-30.0;-4.0;31.0;16.0;35.0;-35.0;-6.0;-10.0;-5.0;-4.0;5.0;-59.0;71.0;16.0;10.0;11.0;1.0;-35.0;-40.0;-23.0;-14.0;-9.0;-4.0;40.0;27.0;16.0;-41.0;-8.0;-8.0;-20.0;-12.0;-5.0;-79.0;2.0;-47.0;-27.0;-36.0;-27.0;-11.0;-7.0;-4.0;-1.0;2.0;-33.0;1.0;47.0;13.0;-33.0;-17.0;-11.0;-53.0;-34.0;-95.0;-59.0;-33.0;6.0;-94.0;-59.0;-37.0;-19.0;-15.0;-11.0;72.0;36.0;18.0;8.0;4.0;2.0;65.0;;;;;
PON X PAL 05-07-2015;;;;;0.0;-43.0;-21.0;-12.0;10.0;6.0;-5.0;5.0;2.0;-20.0;-6.0;5.0;-8.0;-5.0;-3.0;-5.0;-3.0;5.0;1.0;1.0;6.0;3.0;32.0;1.0;11.0;11.0;6.0;3.0;12.0;1.0;0.0;-50.0;-9.0;54.0;-51.0;-30.0;-22.0;-9.0;-27.0;25.0;30.0;14.0;13.0;8.0;4.0;7.0;1.0;40.0;33.0;50.0;24.0;14.0;40.0;23.0;11.0;-30.0;9.0;-13.0;-15.0;-9.0;-5.0;-1.0;0.0;20.0;6.0;4.0;7.0;5.0;4.0;11.0;6.0;9.0;35.0;20.0;41.0;24.0;19.0;9.0;0.0;5.0;-5.0;-37.0;-22.0;-8.0;-5.0;-32.0;30.0;7.0;9.0;-77.0;-70.0;-10.0;;;;;
CHA X GRE 08-07-2015;;;;;1.0;16.0;-70.0;-34.0;-20.0;21.0;4.0;48.0;29.0;18.0;9.0;1.0;6.0;1.0;1.0;-30.0;-16.0;-69.0;-80.0;-37.0;30.0;25.0;6.0;19.0;33.0;24.0;41.0;63.0;32.0;17.0;-21.0;-13.0;-11.0;4.0;-86.0;-56.0;-32.0;30.0;6.0;9.0;;10.0;10.0;-4.0;1.0;-30.0;7.0;10.0;7.0;45.0;28.0;37.0;23.0;10.0;-4.0;12.0;-15.0;6.0;-19.0;-2.0;32.0;13.0;9.0;8.0;5.0;-29.0;-14.0;-8.0;-7.0;-3.0;41.0;15.0;9.0;6.0;4.0;81.0;48.0;-40.0;-4.0;-5.0;-7.0;31.0;42.0;33.0;10.0;7.0;2.0;6.0;-35.0;26.0;-22.0;-10.0;;;;;
CFC X PON 08-07-2015;;;;;-1.0;-52.0;-31.0;-16.0;-75.0;-44.0;-23.0;-14.0;-8.0;-1.0;-35.0;-10.0;-21.0;-37.0;40.0;15.0;32.0;20.0;-40.0;-26.0;41.0;54.0;40.0;38.0;26.0;22.0;11.0;-70.0;-33.0;-18.0;46.0;26.0;26.0;23.0;51.0;26.0;8.0;-5.0;6.0;1.0;10.0;1.0;-40.0;-21.0;41.0;13.0;12.0;3.0;10.0;7.0;52.0;22.0;14.0;-34.0;-28.0;-19.0;7.0;-44.0;-35.0;-21.0;27.0;9.0;49.0;26.0;22.0;17.0;15.0;-31.0;12.0;18.0;21.0;23.0;19.0;6.0;9.0;14.0;53.0;86.0;-18.0;52.0;-40.0;6.0;6.0;6.0;1.0;49.0;29.0;18.0;16.0;-11.0;11.0;110.0;;;;;
GOI X SAN 08-07-2015;;;;;5.0;25.0;15.0;9.0;-25.0;-13.0;-12.0;-6.0;-3.0;-25.0;-4.0;3.0;-7.0;-4.0;-2.0;-5.0;-2.0;-1.0;-20.0;-31.0;-18.0;-15.0;-20.0;41.0;40.0;25.0;20.0;12.0;49.0;28.0;22.0;53.0;46.0;-9.0;24.0;74.0;44.0;23.0;43.0;6.0;-5.0;3.0;5.0;82.0;52.0;-5.0;39.0;37.0;100.0;58.0;8.0;8.0;12.0;5.0;11.0;87.0;-2.0;55.0;56.0;100.0;69.0;44.0;75.0;66.0;37.0;26.0;18.0;-1.0;11.0;-17.0;44.0;25.0;18.0;14.0;18.0;11.0;8.0;-29.0;1.0;-12.0;-1.0;-4.0;42.0;27.0;17.0;6.0;6.0;2.0;3.0;41.0;-74.0;0.0;;;;;
FIG X JOI 09-07-2015;;;;;2.0;-15.0;29.0;-77.0;-35.0;-26.0;-17.0;19.0;7.0;34.0;40.0;32.0;28.0;-41.0;-34.0;-18.0;-12.0;-8.0;30.0;62.0;61.0;56.0;-24.0;28.0;-21.0;-26.0;-18.0;35.0;18.0;37.0;23.0;43.0;-31.0;-1.0;17.0;7.0;6.0;-24.0;-13.0;-42.0;-25.0;-4.0;-1.0;11.0;5.0;7.0;-15.0;-1.0;51.0;33.0;25.0;-20.0;31.0;13.0;7.0;9.0;-4.0;12.0;-75.0;-41.0;-24.0;-14.0;-28.0;-36.0;-31.0;-18.0;-10.0;-4.0;-29.0;46.0;18.0;11.0;11.0;28.0;13.0;7.0;3.0;1.0;-2.0;-1.0;-10.0;10.0;1.0;-1.0;-6.0;5.0;-1.0;9.0;-6.0;-23.0;-31.0;40.0;;;;;
PAL X AVA 09-07-2015;;;;;32.0;59.0;31.0;-34.0;-8.0;-8.0;-5.0;-6.0;2.0;2.0;2.0;20.0;7.0;1.0;-4.0;2.0;-28.0;-16.0;-8.0;12.0;10.0;9.0;43.0;2.0;2.0;2.0;7.0;-4.0;1.0;2.0;27.0;17.0;12.0;22.0;28.0;43.0;20.0;8.0;11.0;2.0;30.0;2.0;32.0;20.0;33.0;19.0;21.0;9.0;4.0;3.0;-44.0;-29.0;-15.0;-43.0;-44.0;-26.0;10.0;-14.0;22.0;16.0;12.0;4.0;78.0;46.0;28.0;18.0;12.0;7.0;-4.0;2.0;6.0;5.0;14.0;5.0;24.0;15.0;30.0;18.0;78.0;-29.0;-10.0;-4.0;-3.0;12.0;24.0;15.0;-29.0;-5.0;82.0;48.0;2.0;120.0;;;;;
CAM X SPT 09-07-2015;;;;;-30.0;52.0;25.0;17.0;16.0;10.0;3.0;3.0;2.0;52.0;32.0;-16.0;20.0;7.0;10.0;8.0;6.0;4.0;4.0;2.0;2.0;3.0;-3.0;3.0;4.0;-28.0;-13.0;-5.0;18.0;9.0;-18.0;13.0;5.0;-1.0;-18.0;-12.0;18.0;7.0;6.0;8.0;25.0;6.0;81.0;50.0;27.0;-4.0;-73.0;-21.0;43.0;16.0;32.0;100.0;57.0;33.0;-28.0;43.0;2.0;78.0;94.0;53.0;36.0;26.0;13.0;7.0;26.0;23.0;10.0;-14.0;3.0;-39.0;-21.0;-11.0;-24.0;-17.0;-5.0;7.0;-4.0;-9.0;-7.0;-32.0;-17.0;-4.0;2.0;2.0;5.0;-9.0;-6.0;12.0;31.0;-3.0;-29.0;30.0;;;;;
INT X FLA 09-07-2015;;;;;1.0;3.0;-75.0;-44.0;-26.0;-10.0;11.0;8.0;1.0;22.0;14.0;1.0;9.0;2.0;-4.0;2.0;32.0;15.0;16.0;21.0;14.0;12.0;-9.0;4.0;4.0;3.0;3.0;-2.0;-2.0;34.0;27.0;9.0;18.0;-3.0;-22.0;-10.0;-33.0;-11.0;9.0;-2.0;5.0;-7.0;-1.0;3.0;-3.0;-1.0;-3.0;33.0;21.0;14.0;6.0;-43.0;-22.0;-5.0;-1.0;3.0;41.0;7.0;11.0;8.0;2.0;-3.0;-3.0;-80.0;-50.0;-27.0;-19.0;24.0;-13.0;-35.0;-23.0;-11.0;-9.0;8.0;-8.0;-5.0;-35.0;-43.0;15.0;-29.0;-19.0;-14.0;-8.0;-7.0;-8.0;-4.0;-1.0;1.0;1.0;14.0;-25.0;115.0;;;;;
VAS X SPO 09-07-2015;;;;;1.0;-25.0;-35.0;-22.0;-89.0;-53.0;-11.0;-36.0;-27.0;-11.0;-83.0;-1.0;-51.0;-29.0;-23.0;-9.0;-1.0;-1.0;-2.0;-1.0;59.0;27.0;-1.0;15.0;22.0;12.0;1.0;4.0;1.0;29.0;10.0;10.0;4.0;5.0;61.0;72.0;42.0;23.0;12.0;4.0;-5.0;-2.0;-2.0;-1.0;-77.0;6.0;-47.0;-29.0;-18.0;-7.0;19.0;10.0;27.0;17.0;-34.0;27.0;2.0;3.0;24.0;44.0;100.0;68.0;40.0;21.0;10.0;-5.0;-13.0;-1.0;-8.0;35.0;17.0;15.0;9.0;-6.0;-5.0;-7.0;-3.0;-5.0;-1.0;-6.0;-7.0;37.0;12.0;51.0;29.0;16.0;5.0;2.0;-3.0;-6.0;-2.0;-85.0;;;;;
COR X CAP 09-07-2015;;;;;-1.0;15.0;16.0;8.0;6.0;-28.0;-7.0;-2.0;3.0;-1.0;5.0;-1.0;32.0;18.0;-41.0;-18.0;-7.0;-10.0;-5.0;-34.0;-19.0;-10.0;-1.0;-5.0;-7.0;2.0;2.0;76.0;46.0;28.0;13.0;8.0;-29.0;-1.0;-16.0;-13.0;-1.0;2.0;-4.0;2.0;30.0;1.0;26.0;23.0;16.0;-21.0;11.0;9.0;-48.0;-29.0;-15.0;-6.0;-31.0;-18.0;-8.0;-2.0;-8.0;-19.0;-22.0;-10.0;-9.0;-7.0;18.0;-27.0;-12.0;-9.0;-7.0;43.0;58.0;-67.0;-17.0;-11.0;-8.0;-16.0;-1.0;73.0;45.0;30.0;29.0;16.0;2.0;-10.0;-8.0;-2.0;1.0;30.0;23.0;14.0;8.0;19.0;1.0;-25.0;;;;;
FLU X CRU 10-07-2015;;;;;5.0;5.0;1.0;20.0;12.0;7.0;4.0;2.0;5.0;2.0;6.0;7.0;4.0;7.0;9.0;10.0;-60.0;-32.0;-19.0;-11.0;-2.0;22.0;34.0;13.0;3.0;1.0;-5.0;-4.0;-7.0;-4.0;30.0;21.0;-20.0;-35.0;-3.0;-2.0;-8.0;-55.0;-36.0;-30.0;0.0;-26.0;-22.0;-8.0;-5.0;-8.0;25.0;10.0;36.0;21.0;42.0;23.0;14.0;6.0;8.0;2.0;-5.0;1.0;41.0;34.0;20.0;11.0;7.0;1.0;35.0;20.0;12.0;-3.0;12.0;47.0;25.0;25.0;89.0;53.0;28.0;2.0;5.0;55.0;-4.0;31.0;48.0;30.0;12.0;3.0;21.0;10.0;6.0;-25.0;-12.0;-5.0;-8.0;70.0;;;;;
GRE X VAS 11-07-2015;;;;;0.0;3.0;36.0;21.0;40.0;24.0;9.0;3.0;21.0;40.0;24.0;0.0;19.0;11.0;-5.0;-1.0;25.0;13.0;8.0;5.0;3.0;0.0;-5.0;0.0;0.0;0.0;0.0;-5.0;5.0;-5.0;-7.0;-9.0;-10.0;-2.0;-71.0;-42.0;-4.0;40.0;42.0;0.0;-40.0;5.0;2.0;41.0;-30.0;-6.0;-3.0;-7.0;30.0;12.0;9.0;5.0;18.0;8.0;35.0;25.0;-59.0;15.0;43.0;20.0;5.0;-20.0;-35.0;-18.0;30.0;11.0;8.0;-35.0;1.0;30.0;11.0;36.0;26.0;16.0;7.0;-35.0;-15.0;-9.0;30.0;25.0;21.0;90.0;83.0;49.0;27.0;15.0;3.0;-5.0;-7.0;5.0;-5.0;10.0;;;;;
SAN X FIG 11-07-2015;;;;;-5.0;-5.0;-1.0;6.0;-40.0;-25.0;21.0;54.0;37.0;31.0;19.0;6.0;11.0;3.0;2.0;7.0;10.0;6.0;5.0;3.0;12.0;8.0;1.0;5.0;99.0;59.0;45.0;28.0;47.0;20.0;11.0;-6.0;29.0;21.0;14.0;-11.0;4.0;-32.0;-15.0;34.0;5.0;79.0;45.0;30.0;21.0;43.0;16.0;2.0;5.0;11.0;10.0;9.0;4.0;15.0;12.0;45.0;26.0;30.0;26.0;18.0;89.0;53.0;35.0;24.0;17.0;8.0;8.0;20.0;8.0;-17.0;34.0;19.0;14.0;-27.0;34.0;13.0;4.0;-38.0;12.0;-17.0;-5.0;-1.0;-23.0;-9.0;-3.0;2.0;7.0;12.0;9.0;6.0;27.0;45.0;;;;;
PON X CAM 12-07-2015;;;;;0.0;5.0;32.0;24.0;54.0;27.0;15.0;2.0;0.0;10.0;64.0;0.0;38.0;-60.0;-1.0;10.0;-30.0;-17.0;-6.0;-5.0;-98.0;-61.0;0.0;-41.0;-19.0;-11.0;5.0;3.0;2.0;1.0;10.0;-5.0;0.0;0.0;-30.0;-22.0;-14.0;-8.0;-4.0;-15.0;5.0;30.0;-8.0;-5.0;25.0;-5.0;17.0;51.0;-35.0;-2.0;10.0;38.0;29.0;25.0;10.0;5.0;-2.0;-30.0;-23.0;-14.0;-8.0;-4.0;20.0;11.0;37.0;22.0;8.0;-1.0;-5.0;0.0;-2.0;-6.0;-3.0;5.0;-60.0;-4.0;5.0;-10.0;-1.0;5.0;4.0;5.0;12.0;8.0;4.0;7.0;4.0;-75.0;-43.0;0.0;-25.0;0.0;;;;;
SPO X CFC 12-07-2015;;;;;6.0;-5.0;42.0;43.0;28.0;18.0;-19.0;77.0;35.0;27.0;12.0;13.0;4.0;12.0;6.0;12.0;11.0;50.0;38.0;26.0;18.0;-52.0;8.0;-23.0;-10.0;-7.0;-6.0;-2.0;-47.0;-44.0;-22.0;-19.0;-27.0;-25.0;-9.0;49.0;59.0;39.0;28.0;47.0;50.0;1.0;16.0;10.0;81.0;-6.0;39.0;18.0;10.0;6.0;11.0;46.0;33.0;15.0;9.0;5.0;7.0;-75.0;-78.0;-45.0;-31.0;-38.0;-16.0;-1.0;-10.0;-10.0;-34.0;1.0;-16.0;-16.0;-14.0;-4.0;-1.0;-2.0;-21.0;-8.0;-6.0;4.0;-24.0;-2.0;34.0;19.0;15.0;7.0;8.0;6.0;-27.0;-14.0;-4.0;-10.0;-2.0;50.0;;;;;
CAP X FLU 12-07-2015;;;;;6.0;2.0;1.0;37.0;22.0;-40.0;81.0;34.0;23.0;14.0;12.0;33.0;-5.0;21.0;1.0;6.0;4.0;3.0;-30.0;-15.0;-4.0;-1.0;15.0;-1.0;45.0;26.0;15.0;8.0;4.0;-61.0;-16.0;20.0;25.0;-40.0;14.0;32.0;12.0;5.0;1.0;-1.0;15.0;-46.0;-27.0;-10.0;7.0;-17.0;-9.0;2.0;32.0;-74.0;-32.0;-12.0;-6.0;7.0;32.0;45.0;-10.0;27.0;52.0;32.0;18.0;70.0;73.0;47.0;29.0;38.0;94.0;-12.0;50.0;30.0;19.0;81.0;48.0;24.0;20.0;17.0;5.0;3.0;-1.0;3.0;1.0;31.0;49.0;59.0;36.0;27.0;14.0;36.0;-25.0;2.0;-2.0;-35.0;;;;;
