game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Clearances_away;Clearances_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Crosses_away;Crosses_home;Dispossessed_away;Dispossessed_home;Dribbles_away;Dribbles_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Interceptions_away;Interceptions_home;Long balls_away;Long balls_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Tackles_away;Tackles_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
LEI X MUN 2017-12-23;371 (83%);354 (79%);14;7;51%;49%;;;;;4;5;;;6;4;1;2;;;;;;;61;28;8;19;1;4;1;0;;;;;5;0;448;448;0;1;9;6;9;3;6;3;10;5;;;19;11;2;4;2;2017-12-23;-15;-22;-15;-42;-26;-19;-15;-17;-12;-8;-16;-59;-34;-19;-11;-6;-25;-7;7;34;89;49;-40;22;-41;-34;-30;-23;-26;-41;-17;-4;-1;-14;-75;-35;-14;24;6;13;0.0;4;10;14;11;-3;10;4;8;-34;-15;-52;-34;-27;-19;-9;-63;3;-73;-39;-29;-24;-3;9;6;5;-4;-21;2;-3;-1;-54;-45;-26;-16;-31;-16;-5;-57;-4;-9;-10;-12;-9;-7;-5;-4;-7;-4.0;-32;-2.0;115.0;2;17:45:00;0;MUN;LEI
TOT X SOU 2017-12-26;265 (74%);408 (83%);9;15;43%;57%;;;0;4;3;2;;;8;3;0;4;;;;;;;64;57;15;8;1;5;1;0;;;;;1;1;359;493;;;11;10;7;7;6;7;5;6;;;16;16;2;0;2;2017-12-26;0;14;8;6;2;30;20;14;10;8;5;0;5;10;13;89;10;12;-29;-6;28;12;-12;5;3;25;16;13;11;10;-6;35;24;-29;93;55;33;16;-31;-21;-5.0;32;16;-73;-40;35;72;24;92;58;31;9;-37;-20;39;20;49;16;20;24;29;15;-72;-39;-26;74;31;51;22;-59;-30;-51;-34;-23;-13;-14;-7;-6;74;-56;-35;-100;-79;-37;-19;-32;-9;-33;-26.0;23;-34.0;-20.0;5;10:30:00;1;SOU;TOT
BOU X WES 2017-12-26;236 (71%);330 (78%);18;26;44%;56%;;;;;2;5;;;4;7;;;;;;;;;59;64;14;12;7;2;;;;;;;2;0;333;424;;;8;20;3;10;5;10;2;5;;;10;25;4;3;3;2017-12-26;-10;-34;-23;-7;4;49;-47;-11;34;-21;-5;6;1;-34;32;24;82;71;40;22;7;1;6;-1;76;40;28;20;10;4;6;-6;-6;8;-4;-3;-2;-7;-5;-32;30.0;73;33;16;8;60;6;-2;29;-25;-13;-8;-30;-16;110;60;40;35;32;25;19;75;100;65;42;21;44;23;-29;-15;-20;41;20;24;17;13;12;100;-98;21;74;-73;-15;33;24;12;14;40;-38.0;-56;-88.0;75.0;3;13:00:00;0;WES;BOU
CHE X BHA 2017-12-26;264 (77%);614 (88%);21;10;33%;67%;0;2;0;3;3;7;;;1;13;0;1;;;;;;;47;43;8;8;5;1;;;;;;;2;2;341;695;;;5;13;4;10;1;8;3;12;;;8;25;1;0;0;2017-12-26;4;20;10;2;-3;-3;-3;-10;-9;-3;33;8;19;13;10;12;60;41;31;85;59;30;11;21;10;4;5;1;4;5;6;11;16;13;53;61;45;30;41;5;25.0;6;7;88;56;35;62;36;25;48;28;15;20;17;-29;92;25;100;89;100;86;49;32;1;23;41;36;44;28;25;21;57;30;25;21;19;15;33;69;18;34;14;13;11;27;44;32;49;34.0;39;29.0;-65.0;2;13:00:00;1;BHA;CHE
HUD X STO 2017-12-26;274 (74%);416 (83%);34;15;42%;58%;;;;;3;3;;;5;8;0;1;;;;;;;84;51;12;9;6;4;1;0;;;;;2;2;372;500;;;11;13;5;8;7;7;4;5;;;15;18;4;2;1;2017-12-26;-10;-8;42;25;15;10;13;-5;-60;-37;-13;-9;-10;-2;6;7;7;34;18;-58;-24;-11;7;-9;-7;-1;-63;-84;-49;-29;-17;-5;1;7;-3;-28;83;62;39;28;0.0;-77;-2;-3;2;10;-20;-34;-21;42;18;14;12;13;76;52;43;27;-79;-30;-21;-36;-49;-2;4;4;18;-42;61;38;26;23;16;30;21;21;15;17;23;22;6;-4;1;1;5;2;5;7;8.0;4;74.0;85.0;1;13:00:00;0;STO;HUD
MUN X BUR 2017-12-26;157 (58%);534 (84%);21;33;29%;71%;;;;;0;11;;;2;12;;;;;;;;;46;66;14;10;3;0;1;2;;;;;1;0;270;638;;;2;15;1;7;2;6;1;9;;;3;24;7;3;2;2017-12-26;-5;14;7;-36;-20;-6;13;7;15;50;31;-14;22;100;67;61;65;39;22;6;13;12;-12;14;19;13;9;11;31;23;-70;-7;46;-85;20;10;10;29;45;22;25.0;-20;56;31;23;-42;19;28;20;3;54;99;63;36;17;12;-18;7;39;29;23;19;16;17;20;17;10;-4;11;46;12;12;33;24;62;43;31;17;37;40;55;38;28;17;13;11;1;-5;-6.0;25;-9.0;110.0;2;13:00:00;0;BUR;MUN
WAT X LEI 2017-12-26;244 (68%);234 (66%);30;22;51%;49%;;;;;3;3;;;8;8;;;;;;;;;66;68;13;7;0;4;0;1;;;;;6;4;359;355;;;8;11;3;7;5;1;3;1;;;11;11;3;3;1;2017-12-26;3;-18;-14;-5;-10;-1;3;25;6;-68;-34;4;-16;-14;-31;-11;-10;-9;-28;-18;22;8;5;36;30;20;12;-38;33;-27;-48;-80;-46;11;-7;-5;8;10;-27;-10;100.0;8;7;6;6;2;1;-3;-3;-29;-21;-16;-12;41;32;41;-5;26;-24;-1;7;24;12;47;25;12;4;-10;-4;-11;-10;17;15;13;12;11;29;21;-3;21;16;9;28;11;-28;-45;-30;-100;-63.0;-32;-53.0;15.0;2;13:00:00;1;LEI;WAT
WBA X EVE 2017-12-26;238 (69%);263 (71%);26;38;48%;52%;;;;;0;4;;;2;10;;;;;;;;;55;71;13;14;3;3;;;;;;;1;1;344;370;;;5;12;4;10;3;3;2;5;;;7;17;0;2;0;2017-12-26;2;58;86;49;26;18;6;-1;-2;3;27;7;13;-24;-4;5;35;24;11;-36;-22;-21;8;-7;5;72;47;32;23;7;29;14;12;8;5;1;-2;34;21;21;;11;5;13;12;9;37;-25;-40;-24;-14;-10;-3;6;-5;1;9;5;3;2;2;7;34;21;13;8;-5;8;-31;-18;-10;-5;6;57;83;53;35;13;8;31;-23;-6;8;35;31;53;34;40;21.0;8;12.0;45.0;0;13:00:00;0;EVE;WBA
LIV X SWA 2017-12-26;422 (85%);530 (88%);12;8;45%;55%;;;;;1;6;;;2;4;;;;;;;;;39;60;8;5;4;4;;;;;;;0;3;496;601;;;6;14;2;7;4;9;1;8;;;7;22;1;0;0;2017-12-26;3;-46;-18;34;13;11;20;14;9;8;7;3;6;-43;-26;46;21;16;16;51;26;14;4;7;2;24;10;3;-3;-3;-11;-9;8;5;25;29;27;16;13;11;30.0;4;5;12;-30;10;46;16;7;76;50;32;50;50;64;34;9;10;-39;-12;-10;-1;-3;77;100;66;46;88;35;22;15;15;14;13;29;-18;8;5;45;5;3;5;20;54;-53;23;7;73;65.0;15;37.0;0.0;5;15:30:00;1;SWA;LIV
NEW X MCI 2017-12-27;736 (89%);133 (58%);15;22;78%;22%;;;;;4;1;;;8;3;1;0;;;;;;;52;51;6;11;1;5;4;0;;;;;4;4;824;228;;;12;3;12;3;6;2;10;3;;;22;6;0;1;1;2017-12-27;30;-39;-29;-51;-37;-52;-57;-41;-54;-100;-66;10;-44;-37;-51;-37;-24;-100;-100;-91;-64;-49;-7;-52;-72;-86;-50;-29;61;80;52;28;34;-7;27;-33;-19;-19;13;-13;0.0;-47;-33;-25;-19;-37;-16;-41;-54;-36;-26;-64;-40;-31;-48;-34;-31;-26;-21;-17;-13;-17;-15;-19;-16;-59;-9;-55;-9;-9;-9;-26;-22;-17;-18;-13;-9;-13;-45;-5;-1;-9;-4;-6;-7;-8;-38;-31;28.0;-58;18.0;30.0;0;17:45:00;-1;MCI;NEW
CRY X ARS 2017-12-28;553 (85%);249 (74%);20;23;66%;34%;;;;;4;5;;;4;5;;;;;;;;;66;68;7;12;0;6;;;;;;;3;1;654;336;;;10;10;3;9;9;2;6;6;;;16;16;1;1;3;2017-12-28;10;-38;-4;2;5;28;49;31;11;4;-1;3;-12;-14;-59;-41;-31;-59;-100;-94;-54;-33;-6;-23;-54;-68;-39;-1;-3;-34;-19;-8;9;-8;55;-36;-1;-2;-2;19;-5.0;-7;-16;-3;-3;-10;74;41;24;18;40;47;27;10;5;-6;-13;-10;-17;-7;-76;-45;-21;-12;-82;-48;-28;-13;-12;-37;-23;-20;-19;-13;-27;-17;-11;-8;-13;-11;24;9;3;-37;33;8;37;25;30.0;-8;100.0;5.0;2;18:00:00;-1;ARS;CRY
BOU X EVE 2017-12-30;348 (74%);290 (70%);22;26;53%;47%;;;;;2;4;;;4;4;1;0;;;;;;;46;56;13;8;5;0;0;1;;;;;5;0;471;416;;;4;10;3;7;1;7;2;8;;;6;18;;;1;2017-12-30;-1;-7;-7;-16;-4;-2;-1;-1;-1;-1;-1;-1;1;1;35;21;-24;-4;3;3;3;89;34;54;28;13;4;62;33;18;-47;-21;-18;16;-12;-8;-2;-7;-5;-4;0.0;-1;-1;-25;35;6;11;6;3;-5;-1;1;6;-30;-14;-77;6;-55;-32;-16;-4;47;34;25;41;29;6;-3;10;6;22;-30;36;15;9;29;20;5;27;3;-15;66;38;24;14;42;58;27;9.0;10;79.0;-5.0;2;13:00:00;1;EVE;BOU
CHE X STO 2017-12-30;395 (83%);592 (91%);5;13;42%;58%;;;;;0;2;;;0;7;;;;;;;;;45;41;10;5;7;1;;;;;;;2;3;474;653;;;1;9;0;7;1;12;0;12;;;1;21;1;1;0;2017-12-30;35;100;84;76;50;34;100;70;36;17;6;25;-11;46;27;12;78;46;23;7;4;-7;19;36;13;3;-5;-5;26;24;19;21;19;91;16;20;4;-8;-11;-8;50.0;16;12;5;1;61;19;-34;-7;-4;5;10;17;44;30;22;42;17;14;61;32;14;44;25;5;43;26;32;42;30;23;15;89;56;43;31;24;14;26;14;3;36;16;4;7;3;-2;-2;99.0;17;-2.0;30.0;5;13:00:00;1;STO;CHE
HUD X BUR 2017-12-30;179 (61%);284 (74%);24;31;44%;56%;;;;;2;0;;;4;5;;;;;;;;;62;69;14;14;1;4;;;;;;;3;0;294;384;;;9;0;5;2;4;1;2;3;;;11;3;1;2;0;2017-12-30;2;96;57;34;14;-11;-4;-4;4;4;-22;7;-37;-20;-35;-19;-8;-36;-22;-41;-28;-16;10;-47;-48;-56;-38;-20;-6;3;4;5;5;12;-3;-3;-4;5;-1;-1;30.0;-26;-15;-10;-6;23;-44;-25;-15;-10;-3;3;-38;43;15;12;13;4;3;-3;-4;8;15;7;7;7;7;10;6;6;6;8;28;26;19;15;15;14;7;19;10;4;1;-1;-2;-2;5;-39;-20.0;69;2.0;-25.0;0;13:00:00;0;BUR;HUD
LIV X LEI 2017-12-30;258 (70%);456 (81%);17;17;40%;60%;0;3;1;5;5;5;;;1;7;;;;;;;;;50;45;3;7;4;0;;;;;;;3;4;371;566;;;4;13;1;7;1;6;3;5;;;7;18;2;3;1;2017-12-30;-10;11;9;1;-6;4;39;25;20;18;21;-8;13;35;27;59;38;26;47;35;24;24;-7;59;38;27;21;17;22;37;41;19;5;-82;-6;-3;6;27;17;11;25.0;17;36;27;22;-44;19;10;5;63;77;41;29;21;8;31;-17;43;30;22;14;17;14;14;9;1;-24;33;-39;-24;50;26;17;19;59;79;39;16;5;2;-9;28;-12;-7;-11;-9;-11;-3;2.0;12;2.0;-10.0;2;13:00:00;1;LEI;LIV
NEW X BHA 2017-12-30;396 (78%);292 (71%);31;28;55%;45%;;;;;2;4;;;6;3;;;;;;;;;64;62;10;11;2;3;;;;;;;2;1;505;411;;;6;4;5;5;3;2;4;7;;;10;11;2;2;0;2017-12-30;0;-9;-18;-9;-3;2;2;-44;-31;-30;-20;4;-39;-23;-16;-11;-4;-4;-41;-30;-30;-25;4;-18;-12;-65;-43;-30;-15;-7;1;6;5;6;4;-6;-2;-56;-33;-19;0.0;51;30;41;73;6;52;31;12;-12;-76;-9;-40;-32;-17;6;7;-1;2;2;47;32;24;11;-13;-11;-77;3;-51;36;5;5;15;11;7;18;14;8;-16;4;2;1;1;1;1;1;1;1;1.0;-10;5.0;5.0;0;13:00:00;0;BHA;NEW
WAT X SWA 2017-12-30;396 (83%);412 (82%);16;28;49%;51%;0;1;2;2;1;1;;;8;1;;;;;;;;;61;70;13;14;3;2;1;0;;;;;2;3;478;500;;;4;7;4;4;4;4;5;2;;;9;9;2;4;2;2017-12-30;9;28;24;82;54;38;25;20;12;12;12;13;53;35;24;17;-27;-11;-6;6;-4;-5;21;-6;-14;-10;-11;-21;15;-2;-2;3;-7;12;38;18;3;-3;23;11;0.0;-4;4;4;6;7;10;8;11;37;23;15;-19;-4;-48;-57;-30;-32;-56;-27;-11;-3;2;4;1;-6;4;24;4;1;4;1;-2;-2;-2;9;2;-32;2;-19;-19;-9;-13;-8;-22;33;-71;-30;-8.0;-2;-4.0;-170.0;1;13:00:00;-1;SWA;WAT
MUN X SOU 2017-12-30;329 (78%);427 (85%);13;23;46%;54%;;;;;1;7;;;7;10;;;;;;;;;55;60;13;12;3;3;;;;;;;2;1;423;500;;;7;8;4;5;3;3;1;7;;;8;15;4;2;0;2017-12-30;-10;-26;-16;-9;-5;-1;5;9;32;17;-22;-7;-21;-54;-36;-78;-43;-22;-8;7;52;37;-6;34;40;18;6;1;-2;-8;-16;30;21;36;46;20;18;18;37;21;50.0;-3;-3;3;-23;25;-36;-84;-59;-40;24;25;23;18;57;44;16;42;17;7;3;6;7;10;25;19;35;5;24;38;5;-37;-28;-39;-22;-39;-18;-2;-5;22;25;25;7;-8;-7;-14;-42;-48;-27.0;-43;-15.0;15.0;0;15:30:00;0;SOU;MUN
CRY X MCI 2017-12-31;550 (88%);124 (60%);16;15;75%;25%;1;3;1;3;7;4;;;8;7;;;;;;;;;58;62;11;14;1;5;1;0;;;;;2;4;626;205;;;5;6;4;4;4;2;10;4;;;15;10;4;5;0;2017-12-31;-10;28;22;14;5;14;5;1;-8;-12;-12;-12;-5;-7;-52;-37;-28;-31;-24;-17;-15;-44;-44;-31;-29;23;26;16;12;5;-8;-5;25;-33;9;2;4;-8;-7;-7;-25.0;-8;-12;-15;-35;-26;-47;-34;-26;-21;-42;-29;-23;-69;-51;-59;-22;-46;-73;-45;-32;-82;-54;-35;-23;-21;-11;-14;-44;-23;-42;-27;-18;23;6;3;30;8;-10;3;52;26;8;-5;-35;-4;-7;-8;-19.0;16;-14.0;95.0;0;10:00:00;0;MCI;CRY
WBA X ARS 2017-12-31;544 (84%);244 (76%);12;18;66%;34%;;;0;1;5;7;;;6;5;;;;;;;;;48;46;9;14;2;4;;;;;;;2;1;647;322;;;7;9;5;4;4;3;8;5;;;14;14;3;3;1;2017-12-31;2;-12;13;43;7;-8;-8;-38;-32;-20;-14;-6;33;23;46;31;22;19;14;23;17;-47;-9;-88;-54;-33;-20;-3;-6;-12;-15;-21;-21;-31;-12;-11;-11;-6;-27;-5;-5.0;-2;-1;-15;-14;-45;-17;-12;-14;-14;-1;1;1;60;41;28;-30;11;-66;-69;-51;-65;-43;-25;-17;-14;-11;48;-11;-11;-7;-5;-44;-27;-17;-12;-8;44;20;13;7;3;-6;-81;-48;-9;-8;-3;90.0;-28;55.0;-25.0;1;14:30:00;0;ARS;WBA
TOT X WES 2018-01-04;186 (66%);558 (83%);16;18;30%;70%;2;1;2;1;0;14;;;1;7;;;;;;;;;52;56;6;10;7;0;;;;;;;3;3;283;669;;;2;17;2;9;1;8;1;14;;;3;31;2;0;1;2018-01-04;3;12;8;7;2;8;8;18;-22;7;7;3;7;7;10;10;10;10;10;10;35;54;4;74;50;100;63;41;32;15;34;23;16;6;11;10;6;9;10;11;;100;65;44;31;52;23;17;15;14;43;30;19;8;6;2;54;-18;-2;38;23;21;16;7;39;24;55;41;34;22;-74;62;52;32;20;58;-33;-1;29;3;3;3;51;33;100;88;30;22;-23.0;22;-3.0;-5.0;1;18:00:00;0;WES;TOT
BHA X BOU 2018-01-01;329 (82%);300 (76%);16;25;51%;49%;0;2;0;4;13;6;;;12;5;0;1;;;;;;;52;69;9;13;4;6;1;0;;;;;0;1;403;394;;;15;10;5;3;8;6;11;5;;;26;15;1;2;2;2018-01-01;-10;50;23;12;-51;-9;-13;-12;-12;-13;-31;-3;-21;-9;19;-10;-5;-25;-10;-2;5;48;3;36;20;-77;-100;-79;-54;-49;-56;-31;-20;3;-8;-20;-5;4;49;5;0.0;-102;-61;-38;93;8;-47;5;-24;-10;42;21;18;13;9;3;81;-7;-8;-13;-15;-12;-9;-53;-27;-57;-31;74;-10;18;36;22;26;-53;-25;-44;-28;-70;46;-65;-38;-26;-15;-35;-24;-19;-11;-2;-41.0;27;-18.0;35.0;2;10:30:00;0;BOU;BHA
BUR X LIV 2018-01-01;410 (80%);266 (71%);23;30;58%;42%;0;1;1;2;7;3;;;9;3;;;;;;;;;47;60;12;4;3;3;;;;;;;2;1;511;377;;;10;9;7;6;5;4;9;4;;;19;13;;;2;2018-01-01;4;3;-4;2;-6;-10;-11;-12;-13;-49;-44;-36;-29;-20;-14;-8;-7;-7;-4;-3;-32;-30;-26;-18;-13;-25;-15;-21;-15;-11;-5;-3;5;-17;11;12;12;9;56;-11;-5.0;-1;-1;-5;6;-14;7;9;11;-46;-23;-39;-24;-15;-5;-3;-13;5;-4;-84;-49;37;-4;-4;-20;-34;-31;-9;-17;-13;-10;-48;-51;-99;-100;-38;26;5;-9;4;6;32;38;19;32;-44;-20;-17;72.0;16;-4.0;-35.0;1;13:00:00;-1;LIV;BUR
LEI X HUD 2018-01-01;369 (81%);387 (80%);26;25;49%;51%;;;0;2;2;0;;;1;4;0;2;;;;;;;73;64;9;7;2;1;0;1;;;;;1;4;455;482;;;2;8;3;6;1;5;4;3;;;6;11;1;1;0;2018-01-01;-10;-7;-10;-8;-7;-5;-4;-4;-4;4;-3;-55;-5;-8;-32;-22;-15;-16;21;8;5;33;-30;20;10;-8;3;28;21;8;6;6;4;-14;4;5;5;5;5;3;0.0;6;8;27;18;-5;63;39;66;41;100;52;25;6;-11;-16;4;-10;71;33;-25;-9;-2;-4;3;-21;-6;12;-5;14;29;17;3;-7;-24;-11;-7;4;17;3;7;7;33;23;47;32;24;18;16.0;3;7.0;80.0;3;13:00:00;1;HUD;LEI
STO X NEW 2018-01-01;223 (67%);352 (76%);28;30;42%;58%;2;2;3;2;3;4;;;5;10;;;;;;;;;65;69;11;10;4;5;;;;;;;0;2;335;463;;;10;6;5;3;6;4;4;5;;;14;11;1;3;1;2018-01-01;3;-36;-21;-14;-10;-6;-67;-47;-18;-8;-2;4;6;8;27;20;-36;-9;10;1;61;39;5;-25;-26;-11;-12;19;12;7;-22;-57;-17;6;-8;-7;34;25;17;13;-40.0;5;6;8;8;4;9;9;14;9;61;29;19;-23;-18;-21;-17;-18;-9;-1;23;15;17;12;9;-33;-4;-1;-1;3;2;6;-73;-34;-18;-17;-21;-10;8;-4;-5;8;5;-19;-7;10;8;49;35.0;-6;36.0;40.0;0;13:00:00;-1;NEW;STO
EVE X MUN 2018-01-01;495 (85%);282 (77%);17;12;61%;39%;1;1;1;1;7;6;;;6;6;;;;;;;;;48;46;10;11;0;4;1;0;;;;;1;1;585;365;;;3;9;8;6;6;0;18;3;;;21;12;0;2;2;2018-01-01;-10;7;25;11;3;-5;-5;-29;-20;-5;24;-7;20;39;24;19;4;35;-41;-17;-16;-54;-5;-35;-18;-11;-6;-1;-30;-12;12;-5;-21;-4;-18;-4;-26;-19;-15;-14;10.0;-7;-9;-37;-53;14;-28;-38;-54;-62;-34;-25;-17;-12;-89;-59;36;-41;-45;-32;-24;-19;-77;-50;-35;-26;-46;21;-21;32;17;11;34;16;27;36;17;-25;8;-13;-100;-85;-80;-50;-34;-15;-13;-10;7.0;8;7.0;55.0;0;15:30:00;-1;MUN;EVE
SOU X CRY 2018-01-02;246 (70%);444 (79%);23;16;39%;61%;1;0;2;0;3;0;;;7;4;;;;;;;;;61;62;11;8;2;2;;;;;;;0;1;350;560;;;6;4;4;7;4;3;5;6;;;11;10;1;0;2;2018-01-02;35;-2;8;9;8;7;11;33;100;100;72;26;45;28;16;-17;7;2;6;39;30;23;44;19;21;-53;-19;-6;11;8;15;14;14;28;13;18;-25;-7;21;9;;6;6;4;2;18;2;2;22;16;13;12;16;16;13;11;12;10;4;-2;-1;-3;-3;-44;-30;-22;-32;-38;-100;-66;-13;-7;-2;11;12;6;4;-70;-17;-40;-94;-46;-23;-4;10;35;75;20;17.0;-7;15.0;-15.0;1;17:45:00;-1;CRY;SOU
SWA X TOT 2018-01-02;593 (88%);232 (74%);17;11;68%;32%;;;2;0;2;2;;;5;6;2;1;;;;;;;55;49;9;12;1;3;0;1;;;;;2;4;675;313;;;8;5;5;5;5;1;4;3;;;12;8;2;2;2;2018-01-02;10;-23;-20;-14;-85;-54;-27;-19;-15;-7;-8;-5;-34;-34;-23;-17;-13;-9;-7;-7;-10;-12;-6;-13;-14;-4;29;13;6;1;-4;-7;-7;-7;-7;27;-31;-15;-4;5;25.0;-4;-3;-5;22;-10;7;-34;-35;-23;-19;-19;-7;12;2;-3;-18;2;-3;-4;-4;-70;-39;33;-8;-3;-33;-15;-21;43;13;5;2;-3;-1;-33;-22;-46;-14;-35;-21;-6;-4;-26;-26;-11;24;13;-37.0;-18;-58.0;0.0;0;17:45:00;-1;TOT;SWA
WES X WBA 2018-01-02;327 (79%);372 (83%);16;24;48%;52%;1;1;1;3;3;3;;;4;3;2;0;;;;;;;53;65;12;12;3;2;;;;;;;1;1;413;449;;;5;10;6;5;3;5;7;3;;;12;13;2;3;1;2018-01-02;8;24;11;3;-4;-29;-20;-8;-7;5;7;10;8;13;52;22;39;-34;-36;-31;-19;-10;13;-1;-73;-46;-31;-23;-18;-10;-40;-45;44;25;15;15;16;-27;-3;-4;-30.0;29;20;46;26;12;15;6;-21;-18;-11;-37;-22;-8;4;29;1;100;59;33;17;6;-9;6;5;43;24;-1;8;4;1;-2;5;-6;-2;-1;-1;-1;4;-1;-1;-1;20;10;-46;-23;-7;7;36.0;3;1.0;40.0;2;17:45:00;1;WBA;WES
MCI X WAT 2018-01-02;182 (70%);784 (92%);5;6;24%;76%;0;2;1;4;1;3;;;1;9;;;;;;;;;46;48;12;8;5;3;0;1;;;;;3;1;261;854;;;5;14;2;8;4;7;2;5;;;7;18;1;1;1;2018-01-02;10;-13;-4;5;7;74;47;32;23;57;73;90;44;27;17;14;38;13;11;9;-22;-17;58;-68;-34;-13;7;7;15;15;40;31;25;41;32;62;37;25;47;23;0.0;8;12;9;48;75;32;47;31;21;13;41;25;18;14;11;54;27;64;35;27;100;75;48;36;58;34;30;31;45;33;24;25;21;17;27;12;13;21;34;23;-72;-25;-11;-10;-2;7;7;3.0;-36;45.0;-30.0;3;18:00:00;1;WAT;MCI
ARS X CHE 2018-01-03;348 (82%);515 (86%);14;13;42%;58%;3;1;5;1;3;5;;;8;10;1;1;;;;;;;55;52;11;11;4;4;1;1;;;;;3;2;422;599;;;16;9;10;3;6;6;3;5;;;19;14;2;3;2;2018-01-03;3;-5;1;-40;-25;-40;-21;-11;-7;4;5;3;47;32;24;58;29;-16;-3;-4;-53;-54;-22;-27;-13;-9;4;4;5;5;1;-23;-10;-36;24;8;-27;-11;-2;-4;;-53;-31;-20;-14;-25;-10;-100;-65;54;38;2;35;15;5;6;-19;10;49;33;18;100;100;75;12;-37;-20;-8;-23;-35;-20;-10;-27;-12;-3;4;8;9;19;8;8;7;8;9;-71;-29;-12;53;28.0;6;39.0;80.0;2;17:45:00;0;CHE;ARS
CHE X LEI 2018-01-13;329 (79%);427 (84%);17;11;45%;55%;1;0;1;0;7;6;;;3;6;;;;;;;;;63;53;13;14;7;1;;;;;;;3;5;415;511;1;0;8;6;6;4;1;7;6;11;;;14;17;4;2;0;2018-01-13;0;-63;-38;-51;37;-26;-3;-6;36;-20;-2;7;1;-29;-2;-27;-53;-38;-27;-17;-8;-2;22;-1;5;2;1;20;8;1;-14;-11;-32;-14;-20;-8;4;63;43;29;;25;17;8;7;-8;8;8;5;-10;-8;-9;-10;-15;-21;-10;-2;-3;3;11;8;7;26;48;30;20;29;-8;18;11;49;33;23;53;44;30;47;61;-11;43;33;20;11;15;38;67;44;26;15.0;-41;13.0;35.0;0;13:00:00;0;LEI;CHE
CRY X BUR 2018-01-13;310 (75%);212 (65%);36;35;56%;44%;2;3;2;3;1;7;;;2;3;;;;;;;;;77;68;10;16;1;2;;;;;;;4;0;415;324;;;5;13;5;8;2;2;3;4;;;8;17;3;0;0;2018-01-13;10;17;5;-5;-10;-13;-13;-17;-9;-3;2;6;7;7;84;55;29;18;7;7;55;15;4;10;2;-3;-6;-4;-5;-5;3;-39;-31;3;-42;-24;-4;-5;-1;11;30.0;25;14;8;4;2;2;-1;-1;-30;-13;-6;-7;-7;-10;-6;1;26;7;4;3;2;1;1;-10;-5;6;1;-2;-2;-2;34;11;4;1;-2;-30;-19;1;-13;-9;-7;-14;34;12;15;7;-7;-4.0;25;24.0;5.0;1;13:00:00;1;BUR;CRY
HUD X WES 2018-01-13;209 (68%);443 (81%);17;18;36%;64%;0;1;1;1;1;2;;;3;7;2;0;;;;;;;59;51;9;7;1;1;;;;;;;5;0;306;548;;;6;4;1;4;6;2;2;4;;;8;8;1;1;4;2018-01-13;10;2;1;7;9;12;12;5;5;-28;-22;13;-20;-29;-21;-14;-10;-8;-86;-44;-20;-7;15;6;11;6;-35;-18;-12;-34;-14;6;52;16;36;99;59;36;18;27;0.0;13;-75;-38;-22;17;-14;-8;-25;-21;38;44;20;-46;-85;-45;21;-4;6;10;-65;-25;-10;12;11;14;6;42;27;-27;-3;-3;89;53;42;33;23;10;27;29;14;4;-3;2;7;10;13;10;9.0;19;3.0;-5.0;1;13:00:00;-1;WES;HUD
